key,text,tag,file,type
VFEI_ModNameForSettings,VFE - Insectoids 2,VFEI_ModNameForSettings,Keys.xml,keyed
VFEI_InsectTerritoryScale,Infested area,VFEI_InsectTerritoryScale,Keys.xml,keyed
VFEI_Infestation,Infestation,VFEI_Infestation,Keys.xml,keyed
VFEI_InfestationTooltip,"Whether this tile is under the effects of an insectoid infestation.

Areas around insectoid hives are often teeming with insects, with various insect-built structures affecting the environment. Infestations are much more likely to occur, and travelling parties may find roaming insectoids.",VFEI_InfestationTooltip,Keys.xml,keyed
VFEI_Present,Present,VFEI_Present,Keys.xml,keyed
VFEI_SettleWarning,"This tile is near an insectoid hive, so there will be an ever-present insectoid influence on it. Infestations will happen every {0} days. Large infestations are much more likely to happen, and may occur anywhere, not just in dark areas. Megaspiders, spelopedes and megascarabs are roaming free, and travelling caravans may have to fend off insectoid swarms.",VFEI_SettleWarning,Keys.xml,keyed
VFEI_LarvaeTimeSpawn,{0} before next swarmling spawn.,VFEI_LarvaeTimeSpawn,Keys.xml,keyed
VFEI_NoMoreSpawningAllowed,Queen is resting.,VFEI_NoMoreSpawningAllowed,Keys.xml,keyed
VFEI2_RoyalInsectJelly,Royal insect jelly fullness:,VFEI2_RoyalInsectJelly,Keys.xml,keyed
VFEI2_Chemfuel,Chemfuel fullness:,VFEI2_Chemfuel,Keys.xml,keyed
VFEI2_Chitin,Shedding chitin in:,VFEI2_Chitin,Keys.xml,keyed
VFEI_CocoonInsectSpawnIn,{0} before insect spawn.,VFEI_CocoonInsectSpawnIn,Keys.xml,keyed
VFEI_CreatingCocoon,{0} to create cocoon,VFEI_CreatingCocoon,Keys.xml,keyed
VFEI_CannotPlaceCloseToOtherCreeper,Cannot be placed close to other creeper.,VFEI_CannotPlaceCloseToOtherCreeper,Keys.xml,keyed
VFEI_CannotPlaceCloseToOtherJellyFarm,Cannot be placed close to other jelly farm.,VFEI_CannotPlaceCloseToOtherJellyFarm,Keys.xml,keyed
VFEI_Insectoids,Insectoids,VFEI_Insectoids,Keys.xml,keyed
VFEI_ChooseInsectoidColor,Choose insectoid {0} color,VFEI_ChooseInsectoidColor,Keys.xml,keyed
VFEI_DefenderDesc,Defender insectoids vigilantly protect their hive by attacking any hostile entities that come within a designated radius.,VFEI_DefenderDesc,Keys.xml,keyed
VFEI_HunterDesc,"Hunter insectoids proactively search for and hunt wildlife near their hive, bringing back and storing kills for communal consumption.",VFEI_HunterDesc,Keys.xml,keyed
VFEI_WorkerDesc,"Worker insectoids are tasked with constructing and maintaining insectoid-specific structures, as well as performing essential hauling and mining duties.",VFEI_WorkerDesc,Keys.xml,keyed
VFEI_InsectoidWillBeSpawnedIn,{0} will be spawned in: {1},VFEI_InsectoidWillBeSpawnedIn,Keys.xml,keyed
VFEI_SpawningStoppedMaxCapacity,Spawning stopped: maximum amount reached.,VFEI_SpawningStoppedMaxCapacity,Keys.xml,keyed
VFEI_AlreadyActivated,already activated,VFEI_AlreadyActivated,Keys.xml,keyed
VFEI_OnCooldown,will be available in {0},VFEI_OnCooldown,Keys.xml,keyed
VFEI_OtherThumperIsActive,other thumper is active,VFEI_OtherThumperIsActive,Keys.xml,keyed
VFEI_PherocoreCanBeUsedOnHive,{0} can only be used on an {1}.,VFEI_PherocoreCanBeUsedOnHive,Keys.xml,keyed
VFEI_HiveCannotBeUpgradedMore,Cannot upgrade: reached maximum size of the {0}.,VFEI_HiveCannotBeUpgradedMore,Keys.xml,keyed
VFEI_InfestationHasSpread,Quest failed: {0},VFEI_InfestationHasSpread,Keys.xml,keyed
VFEI_InfestationHasSpreadDesc,The insectoid hive has spread. The quest {0} has ended.,VFEI_InfestationHasSpreadDesc,Keys.xml,keyed
VFEI_InsectSummonWarning,Activating the {0} will summon the following hostile insects:\n\n{PAWNS}\n\nAre you ready to fight?,VFEI_InsectSummonWarning,Keys.xml,keyed
VFEI_LetterLabelInsectWaveSummoned,{0} summoned,VFEI_LetterLabelInsectWaveSummoned,Keys.xml,keyed
VFEI_LetterInsectWaveSummoned,"Attracted by your thumper vibrations, an insectoid leader from {0} will emerge from the ground soon. Be prepared.",VFEI_LetterInsectWaveSummoned,Keys.xml,keyed
VFEI_LetterLabelInsectWaveArrived,{0} arrived,VFEI_LetterLabelInsectWaveArrived,Keys.xml,keyed
