key,text,tag,file,type
VFEM2_Structure_Norse.label,norse,label,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.description,"This ideoligion is a descendant of Germanic paganism, also known as Asatru. It may have very different precepts than those of thousands of years ago, but its symbols are similar.",description,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.0,memeAdjective->norse,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.1,memeAdjective->heathen,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.2,memeAdjective->pagan,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.3,memeAdjective->ancestral,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.4,memeAdjective->traditional,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.5,memeAdjective->old-faith,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.6,memeLeaderNoun->godi,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.7,memeLeaderNoun->volva,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.8,memeLeaderAdjective->sacred,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.9,memeLeaderAdjective->runic,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.10,memeMoralist->skald,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.11,memeMoralist->seer,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.12,memeMoralist->wise one,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.13,memeMoralist->sage,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.14,memeMoralist->keeper of lore,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.15,memeMoralist->rune master,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse.generalRules.rulesStrings.16,memeMoralist->spiritual guide,li,MemeDef/Memes_Structures_Basic.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.0,lesson(priority=-1)->things happen,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.1,"r_pattern->""[r_asatruLessonIntro] [r_lesson]. [r_lessonReinforcement] [r_asatruLessonReinforcement]""\n\n  - [lessonAttribution]",li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.2,lessonAttribution->fragment of a [edited] [saga] found [museum],li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.3,edited->damaged,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.4,edited->misinterpreted,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.5,edited->ancient,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.6,edited->forgotten,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.7,edited->preserved,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.8,saga->Edda,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.9,saga->rune stone inscription,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.10,saga->skaldic verse,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.11,saga->ancient saga,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.12,museum->in the archive of Yggdrasil Station,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.13,museum->on a distant star colony named Himinbjörg,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.14,museum->in the Imperial Hall of Ancient Relics,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
VFEM2_Structure_Norse_Description.rules.rulesStrings.15,museum->in the ruins of Jotunheim Prime,li,IdeoStoryPatternDef/RulePacks_Ideo_Description.xml,def
