key,text,tag,file,type
VFEP_FiringFrenzy.label,firing frenzy,label,AbilityDef/Abilities_Captain.xml,def
VFEP_FiringFrenzy.description,Inspire everyone nearby to increase their firing rate and withstand greater amounts of pain. The effect remains attached to the caster for 24 hours.,description,AbilityDef/Abilities_Captain.xml,def
VFEP_FiringFrenzy.label,firing frenzy,label,HediffDef/Hediffs_Casts_Captain.xml,def
VFEP_FiringFrenzy.description,This person is using a special ability to inspire everyone nearby. Everyone within an effect radius gains 50% decreased Shooting Aiming time and 50% increased Pain Shock Threshold.,description,HediffDef/Hediffs_Casts_Captain.xml,def
VFEP_FiringFrenzyBuff.label,firing frenzy,label,HediffDef/Hediffs_Casts_Captain.xml,def
VFEP_FiringFrenzyBuff.description,"Someone is using the firing frenzy ability nearby, inspiring this person to shoot faster and withstand greater amounts of physical pain.",description,HediffDef/Hediffs_Casts_Captain.xml,def
VFEP_Speech_Shanties.label,singing shanties,label,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.0,r_logentry->[INITIATOR_nameDef] [spokeof] [speechtopic].,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.1,speechtopic->searching for [Vegetable]s to avoid scurvy,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.2,speechtopic->how to be [AdjectiveFriendly] while pillaging your enemies,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.3,speechtopic->using [AnimalBadass]s as a protein source,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.4,speechtopic->how [Game] trains you to act as a crew,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.5,speechtopic->using [Weapon] in a raid,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.6,speechtopic->pillaging through [TerrainFeature]s and [TerrainFeature]s,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.7,speechtopic->how in a crew all are [PersonFamily]s and [PersonFamily]s,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.8,speechtopic->the need for [PersonJob]s in a crew,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.9,speechtopic->confronting [PersonBadass]s,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.10,speechtopic->defeating [Enemy]s through sticking together,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.11,speechtopic->relishing [Gore] during combat,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.12,speechtopic->the meaning of camaraderie,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.13,speechtopic->the comradeship of the crew,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.14,speechtopic->how to be [AdjectiveBadass] without being [AdjectiveBadass],li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.15,speechtopic->how [AdjectiveBadass] the crew is,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.16,speechtopic->[AdjectiveNatural] [TerrainFeature]s,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.17,speechtopic->the crew's [AdjectiveLarge] potential,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.18,speechtopic->the [PersonalCharacteristic] of every crewmember,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.19,speechtopic->the terrible [PersonalCharacteristic] of the crew's enemies,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.20,speechtopic(p=0.25)->sticking together as group,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.21,"speechtopic(p=0.25)->the path forward through tragedy, sticking together as a crew",li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.22,speechtopic(p=0.25)->the crew and its importance,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.23,speechtopic(p=0.25)->survival of the strongest,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.24,speechtopic(p=0.25)->triumph through shared hardship,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.25,speechtopic(p=0.25)->death of your enemies as a motivator,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.26,"speechtopic(p=0.25)->strong hands and hearts, working together",li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_Speech_Shanties.logRulesInitiator.rulesStrings.27,speechtopic(p=0.25)->the right to survive and defeat those who are weaker,li,InteractionDef/Interactions_Speech_Shanties.xml,def
VFEP_PirateMeme.label,pirate,label,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.description,"Strong should take from the weak, for that is our right, but camaraderie and code should be elevated above all.",description,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.0,memeAdjective->buccaneering,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.1,memeAdjective->criminal,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.2,memeAdjective->pillaging,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.3,memeAdjective->plundering,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.4,memeAdjective->mutinous,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.5,memeAdjective->piratical,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.6,memeLeaderNoun->skipper,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.7,memeLeaderNoun->commander,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.8,memeLeaderNoun->boss,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.9,memeLeaderAdjective->gallant,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.10,memeLeaderAdjective->draconian,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.11,memeLeaderAdjective->callous,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.12,memeLeaderAdjective->brave,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.13,memeLeaderAdjective->ruthless,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.14,memeLeaderAdjective->daring,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.15,memeMoralist->chaplain,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.16,memeMoralist->first mate,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.generalRules.rulesStrings.17,memeMoralist->first officer,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.0,creation(tag=meme_Pirate)        ->[deity0_name] showed us that the [memberNamePlural] must stand together as a crew to impose [deity0_possessive] will upon those who are weaker.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_Pirate)  ->[deity0_name] shouted to all the [memberNamePlural], ""In an honest service there is thin commons, low wages, and hard labor; in piracy, plenty and satiety, pleasure and ease, liberty and power. Seize it.""",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_Pirate)           ->On the [place_summary] [place_name], the [memberNamePlural] had created a safe haven, where their plunder could be counted for the glory of [deity0_name].",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_Pirate)           ->A coward [foeLeader] looked at this with scorn, for [foeLeader_pronoun] desired all the riches for [foeLeader_objective]self.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_Pirate)        ->[deity0_name]'s truest follower, captain [founderName], captured the [foeLeader] in a daring raid.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.5,"victory(tag=meme_Pirate)            ->[founderName]'s crewmates incarcerated the [foeLeader], who was executed a few days later for [deity0_name]'s glory.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.6,"setup(tag=meme_Pirate)           ->[founderName] was the greatest captain, a true leader. Thousands of pirates united under [founder_possessive] terrifying banner.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_Pirate)    ->[founderName] made us understand that hardships, suffering and sacrifices must be faced together, as a crew. We learned to value the comradeship and camaraderie, and respect each other.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.8,"lessonIntro(tag=meme_Pirate)         ->I talked to the greatest pirate to ever live, a legend amongst men. He showed me that",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.9,"lesson(tag=meme_Pirate)              ->hardships, suffering and sacrifices must be faced together, as a crew",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.10,"lessonReinforcement(tag=meme_Pirate) ->He taught me to value the comradeship and camaraderie, and the merits of respecting each other.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.11,archistBasis(tag=meme_Pirate)    ->Archotechs do not respect those who can't defend themselves: we will face those weaker than ourselves as a crew.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.12,archistFact(tag=meme_Pirate)     ->We will prove to the archotechs that comradeship and camaraderie are the values that keep us strong.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.13,archistProphecy(tag=meme_Pirate) ->Only by standing proud together can we become worthy of transcendence.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.14,animistBasis(tag=meme_Pirate)    ->The spirits do not respect those who can't defend themselves: we will face those weaker than ourselves as a crew.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.15,animistFact(tag=meme_Pirate)     ->We will prove to the spirits that comradeship and camaraderie are the values that keep us strong.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.16,animistProphecy(tag=meme_Pirate) ->[itIsSaid] only by standing proud together can we make the spirits truly listen to us.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.17,serketistProphecy(tag=meme_Pirate)->[itIsSaid] we will prove that comradeship and camaraderie are the values that keep us strong.,li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.18,"chthonianProphecy(tag=meme_Pirate)->These eldritch entities would seek to destroy us, but we will stand together against them. Our camaraderie can't be shaken by anything, not even them.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.19,"esotericismProphecy(tag=meme_Pirate)->Such occult knowledge requires an unified will. We will stand together as a crew, our camaraderie allowing us to embrace these arcane secrets with ease.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.20,"eschatologismFact(tag=meme_Pirate)->We will plunder and pillage those weaker than ourselves, for the world they have created must be destroyed, and only our crew deserves their achievements.",li,MemeDef/Memes_Misc.xml,def
VFEP_PirateMeme.descriptionMaker.rules.rulesStrings.21,"introMemo(tag=meme_Pirate)->As a member of our Reclamation and Repossession Office, let us remind you that any resources found on this planet are the property of the Company, and as such any hostile factions trying to take possession of our assets must be terminated with EXTREME prejudice. We will not allow others to take what is rightfully ours.",li,MemeDef/Memes_Misc.xml,def
