key,text,tag,file,type
CaravanRaidLabel,Raid caravan from {0},CaravanRaidLabel,Messages.xml,keyed
CaravanRaidDialogue,"You have received information of a caravan from {0} that has set up camp nearby. Now would be a good time to raid it, but be aware that caravans are usually guarded.",CaravanRaidDialogue,Messages.xml,keyed
WantedLabel,Wanted by {0},WantedLabel,Messages.xml,keyed
WantedDialogue,"{0} has put up a bounty for {PAWN_nameDef}, a most vile criminal with many atrocities under {PAWN_possessive} name. {PAWN_nameDef} from {1} is wanted for {2} silver if delivered dead, double if delivered alive to one of {0}'s settlements.",WantedDialogue,Messages.xml,keyed
WantedTurnIn,Turn in {PAWN_nameDef},WantedTurnIn,Messages.xml,keyed
WantedTurnInDescDead,Turn in the corpse of {PAWN_nameDef} for a reward.,WantedTurnInDescDead,Messages.xml,keyed
WantedTurnInDescAlive,Turn in the criminal {PAWN_nameDef} for a reward.,WantedTurnInDescAlive,Messages.xml,keyed
WantedTurnInLabel,Turned in {PAWN_nameDef}.,WantedTurnInLabel,Messages.xml,keyed
WantedTurnInMessageDead,You've turned in the corpse of {PAWN_nameDef} for {0} silver.,WantedTurnInMessageDead,Messages.xml,keyed
WantedTurnInMessageAlive,You've turned in criminal {PAWN_nameDef} alive for {0} silver.,WantedTurnInMessageAlive,Messages.xml,keyed
WantedHediff,Wanted by {0} for {1} silver,WantedHediff,Messages.xml,keyed
DefaultSettings,Default Settings,DefaultSettings,Messages.xml,keyed
MinReward,Minimum reward for bounties: {0},MinReward,Messages.xml,keyed
MaxReward,Maximum reward for bounties: {0},MaxReward,Messages.xml,keyed
Chemsined,Should muffalo go for your chemshine: {0},Chemsined,Messages.xml,keyed
ProtectionFeeLabel,Protection fee,ProtectionFeeLabel,Messages.xml,keyed
ProtectionFeeDialogue,"A band of thugs sent by {0} call you from nearby. \n\n They offer to keep your colony safe from any threats, even the ones potentially caused by them, as long as you pay a fee of {1} silver. \n\n Be warned - refusal can anger the thugs.",ProtectionFeeDialogue,Messages.xml,keyed
ProtectionFeeAgree,Accept the offer and pay,ProtectionFeeAgree,Messages.xml,keyed
ProtectionFeeAgreeDialogue,The thugs from {0} seem happy with the deal and cut the communication.,ProtectionFeeAgreeDialogue,Messages.xml,keyed
ProtectionFeeDisagree,Refuse the offer,ProtectionFeeDisagree,Messages.xml,keyed
