key,text,tag,file,type
VFEPD_FakeMummyFemale.label,fake mummy (f),label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FakeMummyFemale.description,A fake female mummy. The latest rage in decorating.,description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FakeMummyMale.label,fake mummy (m),label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FakeMummyMale.description,A fake male mummy. The latest rage in decorating.,description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FakeRelicAltar.label,relic altar,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FakeRelicAltar.description,A small bowl with capacity for one relic. Just for decorative purposes.,description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_EmptyGrogBarrel.label,empty grog barrel,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_EmptyGrogBarrel.description,"A huge, decorative grog barrel. This one is completely empty.",description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJar.label,canopic jar,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJar.description,"A decorative canopic jar. Well, you could stuff a fresh organ inside, but that'd be SO gross.",description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarB.label,canopic jar,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarB.description,"A decorative canopic jar. Well, you could stuff a fresh organ inside, but that'd be SO gross.",description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarC.label,canopic jar,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarC.description,"A decorative canopic jar. Well, you could stuff a fresh organ inside, but that'd be SO gross.",description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarD.label,canopic jar,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_CanopicJarD.description,"A decorative canopic jar. Well, you could stuff a fresh organ inside, but that'd be SO gross.",description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_SmallPyramid.label,pyramid,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_SmallPyramid.description,A gigantic stone structure whose outer surfaces are triangular and converge to a single step at the top.,description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_GrandGate.label,grand gate,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_GrandGate.description,A huge entrance for a kemetic city.,description,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FuturisticObelisk.label,futuristic obelisk,label,ThingDef/Buildings_AlphaMemes.xml,def
VFEPD_FuturisticObelisk.description,A huge metallic obelisk.,description,ThingDef/Buildings_AlphaMemes.xml,def
