key,text,tag,file,type
VFEPD_DamagedHydro.label,damaged ancient hydroponics,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_DamagedHydro.description,An ancient artificial nutrient bath for growing plants. Its core components have long been damaged and are now a pile of useless scrap iron.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_DamagedHydroB.label,damaged ancient hydroponics,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_DamagedHydroB.description,An ancient artificial nutrient bath for growing plants. Its core components have long been damaged and are now a pile of useless scrap iron.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_DamagedHydroC.label,damaged ancient hydroponics,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_DamagedHydroC.description,An ancient artificial nutrient bath for growing plants. Its core components have long been damaged and are now a pile of useless scrap iron.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientDualHydroponicsBasin.label,ancient dual hydroponics,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientDualHydroponicsBasin.description,An ancient artificial nutrient bath for growing plants. Its core components have long been damaged and are now a pile of useless scrap iron.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientDamagedSunlamp.label,damaged sun lamp,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientDamagedSunlamp.description,An ancient self-powered sun lamp. Its internal power supply is completely depleted.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientSunlamp.label,ancient sun lamp,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientSunlamp.description,"An ancient self-powered sun lamp. Its shell is sturdy, and it was powered by a thermonuclear battery, now depleted.",description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientDispenser.label,ancient nutrient solution dispenser,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientDispenser.description,"An ancient nutrient solution dispenser that was used to process and convert nutrient ointments into nutrient solutions, and then transport nutrient solutions for hydroponic cultivation through a pipeline system. Inactive.",description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientDispenser.label,nutrient solution dispenser,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientDispenser.description,"A nutrient solution dispenser used to process and convert nutrient ointments into nutrient solutions, and then transport nutrient solutions for hydroponic cultivation through a pipeline system. Inactive.",description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientSolutionFermenter.label,ancient nutrient solution fermenter,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientSolutionFermenter.description,An ancient nutrient solution fermenter used to process a series of raw food or fertilizers in a fermentation tank and separate them to obtain nutrient solution. Inactive.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientSolutionFermenter.label,nutrient solution fermenter,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientSolutionFermenter.description,A nutrient solution fermenter used to process a series of raw food or fertilizers in a fermentation tank and separate them to obtain nutrient solution. Inactive.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientPump.label,ancient nutrient pump,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientPump.description,An ancient nutrient solution pump. This pump has been damaged.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientSolutionStorageTank.label,ancient nutrient solution storage tank,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_AncientNutrientSolutionStorageTank.description,Ancient nutrient solution storage tanks. Inactive.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientSolutionStorageTank.label,nutrient solution storage tank,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientSolutionStorageTank.description,Nutrient solution storage tanks. Inactive.,description,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
VFEPD_NutrientPipes.label,nutrient pipe,label,ThingDef/Buildings_AncientHydroponicFarmFacilities.xml,def
