key,text,tag,file,type
VFEPD_AM_Exit_L.label,Ancient escalator,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Exit_L.description,An upward escalator that has ceased operation. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Exit_S.label,Ancient escalator,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Exit_S.description,An upward escalator that has ceased operation. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_DownwardStairs.label,Ancient construction site staircase,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_DownwardStairs.description,"A staircase descends into the basement, where it is quite dark. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Trader.label,ancient logistics terminal,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Trader.description,"Ancient logistics terminal, this is part of the ancient underground automatic logistics system. You can purchase goods from ancient material storage stations through the interactive panel, which constitutes a logistics system within an ancient city. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_SmallGenerator.label,small fuel generator,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_SmallGenerator.description,Small scale fuel generator. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_AncientDismantlingWorkbench.label,ancient dismantling table,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_AncientDismantlingWorkbench.description,An ancient dismantling table that integrates machinery and sewing. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_DiningChair.label,dining chair,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_DiningChair.description,"A comfortable and attractive chair. Can be used at tables, work stations, and elsewhere. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LargeScreenTelevision.label,large-screen television,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LargeScreenTelevision.description,"A super large ancient television capable of displaying 3D images, providing an entertainment experience akin to a 3D cinema. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LargeBackpack_Decoration.label,large backpack,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LargeBackpack_Decoration.description,an oversized military backpack that is already broken. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LBT_Decoration.label,LBT,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_LBT_Decoration.description,The medical supplies backpack is broken. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_MBSS_Decoration.label,MBSS,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_MBSS_Decoration.description,The small military backpack is broken. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_PostmanShoulderBag_Decoration.label,Postman shoulder bag,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_PostmanShoulderBag_Decoration.description,The postman's small shoulder bag is already broken. Non-functional: all its internal mechanisms have been removed.,description,ThingDef/Buildings_AncientUrbanRuins.xml,def
VFEPD_AM_Scav_Decoration.label,Scav bag,label,ThingDef/Buildings_AncientUrbanRuins.xml,def
