key,text,tag,file,type
VFEPD_AncientEducator.label,ancient educator,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientEducator.description,A very old interactive machine that’s commonly used in the vaults to pass the time. This one is just deactivated.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientFoosballTable.label,ancient foosball table,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientFoosballTable.description,"An old relic of the times, foosball table allows players to engage in the long forgotten game of football without leaving the safety of the vault. Or it would, but its rods are soldered and immobile.",description,ThingDef/Buildings_Ancients.xml,def
VFEPD_LargeSupplyCrate.label,large hermetic crate,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_LargeSupplyCrate.description,A large crate with some building resources and components. Sealed shut.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_PipelineJunction.label,pipeline junction,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_PipelineJunction.description,A large underground chemfuel pipeline. Not connected to anything.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBedTwo.label,ancient bed,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBedTwo.description,An old-fashioned metal bed frame with a hard mattress and uncomfortable duvet.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_RustedHospitalBed.label,rusted hospital bed,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_RustedHospitalBed.description,An old-fashioned metal bed frame with a hard mattress and uncomfortable duvet.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_WheeledBed.label,wheeled bed,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_WheeledBed.description,An old-fashioned metal bed frame with a hard mattress and uncomfortable duvet.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientCryptosleepSuspender.label,ancient cryptosleep suspender,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientCryptosleepSuspender.description,An ancient medical pod that uses partial cryptosleep to slow down the degredation of wounds and help the body heal. Sealed shut.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientCryptosleepSarcophagus.label,ancient cryptosleep sarcophagus,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientCryptosleepSarcophagus.description,An ancient cryptosleep sarcophagus. Sealed shut.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientMonitorBank.label,ancient monitor bank,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientMonitorBank.description,A small set of old computer screens.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBrokenDefensiveTurret.label,ancient broken defensive turret,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBrokenDefensiveTurret.description,A destroyed defensive turret top.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBustedTurretPlatform.label,ancient busted turret platform,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientBustedTurretPlatform.description,A destroyed platform for a turret.,description,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientFuelTank.label,ancient fuel tank,label,ThingDef/Buildings_Ancients.xml,def
VFEPD_AncientFuelTank.description,A large fuel tank that could be deconstructed for fuel. If it still had any.,description,ThingDef/Buildings_Ancients.xml,def
