key,text,tag,file,type
VFEPD_Tent.label,tent,label,ThingDef/Buildings_Classical.xml,def
VFEPD_Tent.description,"A small, personal tent no larger than a single person bed. Purely decorative.",description,ThingDef/Buildings_Classical.xml,def
VFEPD_Thermaebath.label,thermaebath,label,ThingDef/Buildings_Classical.xml,def
VFEPD_Thermaebath.description,"A very large, heated stone bath meant to be shared by several patrons. This one isn't heated.",description,ThingDef/Buildings_Classical.xml,def
VFEPD_TheatreStage.label,theatre stage,label,ThingDef/Buildings_Classical.xml,def
VFEPD_TheatreStage.description,A lightly decorated wooden stage meant to provide area for props and actors both to create compelling scenes. Purely decorative.,description,ThingDef/Buildings_Classical.xml,def
VFEPD_MeatDryingRack.label,meat drying rack,label,ThingDef/Buildings_Classical.xml,def
VFEPD_MeatDryingRack.description,A solid wooden rack featuring a series of dangling metal hooks across a central beam meant to hang slabs of meat. Purely decorative.,description,ThingDef/Buildings_Classical.xml,def
VFEPD_Plant_Poppy.label,poppy,label,ThingDef/Buildings_Classical.xml,def
VFEPD_Plant_Poppy.description,"A fake tiny, crimson flower that can be harvested for opium, a strong pain killing drug.",description,ThingDef/Buildings_Classical.xml,def
