key,text,tag,file,type
VFEPD_DeserterShuttle.label,deserter shuttle,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_DeserterShuttle.description,"A spacer-tech shuttle designed for transit between surface and orbit, or between moons of a planetary system. This one seems to be non-functional.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_ImperialMaxpack.label,imperial maxpack,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_ImperialMaxpack.description,"The Imperial maxpack is a formidable armored transport truck, known for its impressive cargo capacity. This one seems to be non-functional.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_UraniumSlug.label,uranium slug ammo box,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_UraniumSlug.description,A small-sized box containing uranium slug ammunition. Used by Kontarion turrets to reload. May explode when damaged. Upon closer inspection this box seems to be just filled with plastic slugs.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_Autocannon.label,autocannon ammo box,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_Autocannon.description,A small-sized box containing autocannon ammunition. Used by Palintone turrets to reload. Upon closer inspection this box seems to be just filled with plastic slugs.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_Missile.label,missile ammo box,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_AmmoBox_Missile.description,A small-sized box containing missiles. Used by Onager turrets to reload. Upon closer inspection this box seems to be just filled with plastic missiles.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_SupplyCrate.label,supply crate,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_SupplyCrate.description,A small imperial crate containing valuables. Sealed shut.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_BiosecuredCrate.label,biosecured crate,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_BiosecuredCrate.description,A small imperial crate containing extremely valuable items. Sealed shut.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillancePillar.label,surveillance pillar,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillancePillar.description,"A large pillar with a series of sensors, cameras and motion detectors. Seems to be inactive.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_AerodroneMunitionsCrate.label,aerodrone munitions crate,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_AerodroneMunitionsCrate.description,"A large military crate of aerodrone munitions. Upon closer inspection, all the missiles are fake plastic ones.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_AerodroneBatteryPack.label,aerodrone battery pack,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_AerodroneBatteryPack.description,"A large, overcharged aerodrone battery. Non-functional.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_Aerodrone.label,aerodrone,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_Aerodrone.description,"Aerodrone is a spacer-tech, unmanned aerial vehicle equipped with advanced sensors and a missile payload. Non-functional.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_FuelTank.label,fuel tank,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_FuelTank.description,A large fuel tank used to refuel Imperial shuttles. Completely empty.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillanceStation.label,surveillance console,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillanceStation.description,A large console designed to link to surrounding surveillance pillars. This one is disconnected from the grid.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillanceDisplayBank.label,surveillance display bank,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_SurveillanceDisplayBank.description,An imperial computer interface. This one is disconnected from the grid.,description,ThingDef/Buildings_Deserters.xml,def
VFEPD_Techprinter.label,techprinter,label,ThingDef/Buildings_Deserters.xml,def
VFEPD_Techprinter.description,"The Techprinter is a marvel of technological innovation, designed to capture and preserve the intricate knowledge residing within a techfriar’s mind. This one is disconnected from the grid.",description,ThingDef/Buildings_Deserters.xml,def
VFEPD_TechiteDiscStack.label,techite disc stack,label,ThingDef/Buildings_Deserters.xml,def
