key,text,tag,file,type
VFEPD_AncientCryofreezer.label,ancient cryofreezer,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCryofreezer.description,A super-charged air-conditioning unit designed for its intended purpose of preventing genomes from breaking down entropically. This one is non-functional.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientElectrowomb.label,ancient electrowomb,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientElectrowomb.description,"This device has collapsed in on itself, rendering it useless.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientElectrowombLarge.label,ancient large electrowomb,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientElectrowombLarge.description,"The exterior shell has completely fallen apart, yet it seems that it exploded instead of imploded.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomeRecombinator.label,ancient genome recombinator,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomeRecombinator.description,A very old recombinator that somehow possesses an awful stench and excessive mould.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomorpher.label,ancient genomorpher,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomorpher.description,"A Genomorpher that has fallen into complete disrepair, some salvage still remains.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomeExtractor.label,ancient genome extractor table,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGenomeExtractor.description,"Lacking proper maintenance for so long, this machine is rusted shut.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGeneticsTinkeringTable.label,ancient genetics tinkering table,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientGeneticsTinkeringTable.description,"Most of the useful and otherwise functional parts are missing, indicating intentional sabotage.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientTissueGrinder.label,ancient tissue grinder,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientTissueGrinder.description,The machinery and electronics are irreparable but could be broken down for scrap.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAncientBioBattery.label,ancient ruined bio-battery tank,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAncientBioBattery.description,This ancient tank once converted biological matter into an electrical current. It is now completely broken and useless.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAncientGeneTailoringPod.label,ancient ruined gene-tailoring pod,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAncientGeneTailoringPod.description,This ancient structure was once used to inject nanomachines in a subject in an attempt to create the perfect soldier. It now lies rusted and unsalvageable.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientBioBattery.label,ancient microbiobattery,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientBioBattery.description,A very efficient ancient battery. Sadly out of service.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGenePod.label,ancient ruined genepod,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGenePod.description,An ancient genepod that was used to combine genetic material. This machine is obsolete and damaged beyond repair.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAnimalControlHub.label,ancient animal control hub,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAnimalControlHub.description,"It seems that this structure was capable of emitting some kind of electromagnetic radiation used to control brain function of certain animals. This was crude and primitive technology prone to failure and instability, and as such it is completely useless now.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAnimalEnrichmentCenter.label,ancient animal enrichment center,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedAnimalEnrichmentCenter.description,"Whatever was held inside this dank, rusted metal coffin has long since escaped. It is damaged beyond all repair.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedArchotechPlatform.label,ancient construction platform,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedArchotechPlatform.description,This deteriorated platform seems to have been used to assemble some kind of machinery. It now lays bare and empty.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneDuplicator.label,ancient gene duplicator,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneDuplicator.description,"This semi-spherical vat seems to have held some kind of viscuous liquid inside, as evidenced by the rancid-smelling residue coating its insides. It is now completely ruined and only useful as metal scrap.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneRecombinator.label,ancient gene recombinator,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneRecombinator.description,"A completely obsolete model of gene recombinator, that is also deteriorated and rusted beyond and salvaging.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticDatabase.label,ancient genetic database,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticDatabase.description,"This ancient computer was used to storage genetic information and feed genetic dataprints to other machines, but its components have deteriorated so far that all the data it contained has degraded to nothingness.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticExtractionTable.label,ancient genetic extraction table,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticExtractionTable.description,Yet another workstation that has deteriorated beyond all recovery. A foul-smelling vial of stagnant liquid warns you to keep away from it.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticStorage.label,ancient genetic storage,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGeneticStorage.description,"This little wheeled table housed a small specialized computer and refrigerated trays to store genetic material, but it is now so damaged it can only be used as scrap.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGenomeSequencer.label,ancient genome sequencer,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedGenomeSequencer.description,A large centrifuge used in gene sequencing. Its corroded parts will never be of use to anyone again.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedHexagelPlant.label,ancient hexagel core reactor,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedHexagelPlant.description,A derelict bio-energy power plant.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedIncubator.label,ancient ruined incubator,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedIncubator.description,This small canister has been smashed to pieces and whatever it contained has long evaporated.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedLabBarrel.label,ancient ruined lab barrel,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedLabBarrel.description,Whatever this barrel held has long ago evaporated.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_Rack.label,ancient server rack,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_Rack.description,"This server rack once housed a lot of genetic information, but all its data has now degraded completely.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_CommsTable.label,ancient comms table,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_CommsTable.description,This was once a smart table. But now it's dumb.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_LooseCables.label,loose cables,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_LooseCables.description,This tangle of decayed cables were probably once housed inside the ceiling panels.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCrateTwo.label,ancient ruined crate,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCrateTwo.description,Whatever this crate contained has long ago rotted and turned to dust.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCrateDouble.label,ancient ruined crate,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCrateDouble.description,Whatever this crate contained has long ago rotted and turned to dust.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCratePile.label,pile of ancient ruined crates,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientCratePile.description,Whatever these crates contained has long ago rotted and turned to dust.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientTechCrate.label,ancient mechanized crate,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_AncientTechCrate.description,Whatever this crate contained has long ago rotted and turned to dust.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedBarrelDouble.label,ancient ruined lab barrels,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedBarrelDouble.description,Whatever this barrel held has long ago evaporated.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedVials.label,ancient ruined vials,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedVials.description,Small canisters that once held some valuable liquids.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedLabShelf.label,ancient lab shelf,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedLabShelf.description,Rusted shelving units coated in grime and dust.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedMechanoidTinkeringTable.label,ancient mechanoid tinkering table,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedMechanoidTinkeringTable.description,"This workbench appears to have been used to try and reverse engineer mechanoid components, but it is damaged to the point of uselessness.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedMutaniteCentrifuge.label,ancient mutanite centrifuge,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedMutaniteCentrifuge.description,"A machine used to process mutagenic minerals, now completely broken and unsalvageable.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedNutrientVat.label,ancient nutrient vat,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedNutrientVat.description,A slurry of liquefied organic pulp filled this reinforced glass vat. It now lays broken and empty.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedPulper.label,ancient pulper,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedPulper.description,A weird-looking machine that shredded wood into organic pulp. Broken beyond repair.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedPulpRecycler.label,ancient pulp recycler,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedPulpRecycler.description,"An obsolete, ancient machine that recycled wood, corpses and bones into organic pulp. Broken beyond repair.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedRefrigeratedCoils.label,ancient refrigerated coils,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedRefrigeratedCoils.description,These structural cryofuel coils have been completely ruined by time and neglect. They can no longer function.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedTissueGrowingVat.label,ancient tissue growing vat,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_RuinedTissueGrowingVat.description,A metal sarcophagus used to grow bio-mechanic implants in a controlled manner. Its machinery has been gutted and has later decayed into rusted scrap.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_LabLockerBank.label,ancient lab locker bank,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_LabLockerBank.description,"An ancient, rusted bank of lockers. All of the lockers have been forced open with nothing valuable left behind.",description,ThingDef/Buildings_Genetics.xml,def
VFEPD_MonitorBank.label,ancient monitor banks,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_MonitorBank.description,These monitors will never show any information again.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignA.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignA.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignB.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignB.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignC.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignC.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignD.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignD.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignE.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignE.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignF.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignF.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignG.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignG.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignH.label,ancient sign,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SignH.description,A weathered sign advertising a company that has long been forgotten.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_Toilet.label,ancient toilet,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_Toilet.description,Drinking from this will give you more than just a few rads...,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_Sink.label,ancient sink,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_Sink.description,Drinking from this will give you more than just a few rads...,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_SmallBioLight.label,ancient bioluminescent light,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_SmallBioLight.description,A metallic capsule filled with some bioluminescent compound. Seems to be non-functional.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_BioLight.label,ancient bioluminescent light,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_BioLight.description,A metallic capsule filled with some bioluminescent compound. Seems to be non-functional.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_Ruined_Mechahybridizer.label,ancient mechahybridizer,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_Ruined_Mechahybridizer.description,The broken maws of this ancient factory will never be able to close again.,description,ThingDef/Buildings_Genetics.xml,def
VFEPD_Ruined_Mechahybrid_Antenna.label,ancient mechahybrid antenna,label,ThingDef/Buildings_Genetics.xml,def
VFEPD_Ruined_Mechahybrid_Antenna.description,A collapsed antenna that is completely unable of transmitting anything ever again.,description,ThingDef/Buildings_Genetics.xml,def
