key,text,tag,file,type
VFEPD_Bar.label,decorative bar,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_Bar.description,A somewhat ornate countertop stocked to the brim with different vessels and devices for making a variety of drinks.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_DecorativeSodaFountain.label,soda fountain,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_DecorativeSodaFountain.description,An all-in-one soda manufacturing unit. This one is inactive and non-functional.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_AmbrandyDistillery.label,ambrandy distillery,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_AmbrandyDistillery.description,A gilded distillery of very delicate craftsmanship meant for aging ambrosia must into a drinkable form. This one is inactive and non-functional.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_WhiskeyCask.label,whiskey cask,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_WhiskeyCask.description,A huge barrel meant for aging a high volume of whiskey at once. This one is empty and non-functional.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_TequilaBarrel.label,tequila barrel,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_TequilaBarrel.description,A small still and fermenter combo unit. This one is empty and non-functional.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_VodkaDrum.label,vodka drum,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_VodkaDrum.description,A cheap container meant for storing water retrofitted to be air tight for short-term fermenting. This one is empty and non-functional.,description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_GinStill.label,gin still,label,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
VFEPD_GinStill.description,"A fully metal industrial distilling device, meant to purify and ferment gin into a drinkable form. This one is empty and non-functional.",description,ThingDef/Buildings_VanillaBrewingExpanded.xml,def
