key,text,tag,file,type
VFEPD_Celery.label,celery,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Celery.description,A vegetable consisting of a long fibrous stalk tapering into leaves. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Pineapple.label,pineapple,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Pineapple.description,A sweet tropical fruit with a tough leathery skin and spiky leaves on top. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Lettuce.label,lettuce,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Lettuce.description,A leaf vegetable commonly eaten fresh and served as the base of green salads. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_BrusselsSprout.label,brussels sprout,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_BrusselsSprout.description,"A form of cabbage grown for its edible buds called ""sprouts"". This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Cassava.label,cassava,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Cassava.description,"A tuberous edible plant also called manioc, mandioca, or yuca. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_SweetPotato.label,sweet potato,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_SweetPotato.description,"A tuberous edible plant also called manioc, mandioca, or yuca. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Radish.label,radish,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Radish.description,"A tuberous edible plant also called manioc, mandioca, or yuca. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Buckwheat.label,buckwheat,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Buckwheat.description,A pseudocereal cultivated for its grain-like seeds. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Peanut.label,peanut,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Peanut.description,A plant that produces seeds with an oblong shape and a papery seed coat. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Sunflower.label,sunflower,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Sunflower.description,A large crop used for its edible oil and edible fruits. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Okra.label,okra,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Okra.description,A flowering plant in the mallow family valued for its edible green seed pods. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Garlic.label,garlic,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Garlic.description,"A plant with long, flat grasslike leaves forming a stalk. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Carrot.label,carrot,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Carrot.description,A herbaceous plant of the Apiaceae family that produces an edible taproot. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Beans.label,beans,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Beans.description,A herbaceous bush with a long history of cultivation. This one is fake.,description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Chickpea.label,chickpea,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Chickpea.description,"One of the earliest cultivated legumes, widely grown for its nutritious seeds. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_BellPepper.label,bell pepper,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_BellPepper.description,"Also known as sweet peppers, bell peppers are technically nightshades. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_YellowBellPepper.label,yellow bell pepper,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_YellowBellPepper.description,"Also known as sweet peppers, bell peppers are technically nightshades. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Taro.label,taro,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Taro.description,"A tropical plant grown primarily for its edible corm, a root vegetable. This one is fake. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Watercress.label,watercress,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Watercress.description,"Watercress is a rapidly growing, perennial plant. It is one of the oldest known leaf vegetables consumed by humans. This one is fake. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Lotus.label,lotus,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Lotus.description,"Sometimes colloquially called a water lily, lotus plants are adapted to grow in the flood plains of slow-moving rivers and delta areas. This one is fake. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_WaterChestnut.label,water chestnut,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_WaterChestnut.description,"An aquatic vegetable that grows in marshes, under water, in the mud. This one is fake. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Melon.label,melon,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Melon.description,"A plant producing a sweet, edible, and fleshy fruit of considerable size. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Cucumber.label,cucumber,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_Cucumber.description,"A sprawling vine with large leaves and curling tendrils, triangular prickly hairy leaves and yellow flowers. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_ButternutSquash.label,butternut squash,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_ButternutSquash.description,"A vine plant that produces a vegetable with a sweet, nutty taste similar to that of a pumpkin. This one is fake.",description,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
VFEPD_AloeVera.label,aloe vera,label,ThingDef/Buildings_VanillaPlantsExpandedMorePlants.xml,def
