key,text,tag,file,type
GR_CantUseMoreGenetrainers,This genetrainer can't be used. This colonist already had a genetrainer applied.,GR_CantUseMoreGenetrainers,Misc_Gameplay.xml,keyed
GR_AgePills.label,age pills,label,ThingDef/AgePills.xml,def
GR_AgePills.description,"These capsules are filled with a mixture of chemicals and nanomachines, able to modify an organism's age by carefully manipulating its DNA. Every pill taken increases age by 1 year. Useful to make animals mature quickly.\n\nOnce consumed, the animal will be extremely dizzy for at least a day, and additional pills administered during that period won't be effective.\n\nOh, your colonists can also consume them...",description,ThingDef/AgePills.xml,def
GR_AgePillsTaken.description,"Recovering from age pills. Age pills are hard on the body's metabolism, and it takes at least a day before other pill can take effect.",description,HediffDef/AgePills.xml,def
GR_AgePillsTaken.label,age pills,label,HediffDef/AgePills.xml,def
GR_UrsineGenetrainerEffect.label,ursine genetrainer (bear resilience),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_UrsineGenetrainerEffect.description,"This genetrainer gives a series of health states related to bear resilience.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_BoomGenetrainerEffect.label,boom genetrainer (chemfuel production),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_BoomGenetrainerEffect.description,"This genetrainer gives the ability to produce chemfuel like a boomalope.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_FelineGenetrainerEffect.label,feline genetrainer (keen sight),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_FelineGenetrainerEffect.description,"This genetrainer gives the keen sight health state, increasing shooting accuracy.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_AvianGenetrainerEffect.label,avian genetrainer (birdlike curiosity),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_AvianGenetrainerEffect.description,"This genetrainer gives the birdlike curiosity health state, increasing global learning speed.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_MuffaloGenetrainerEffect.label,muffalo genetrainer (wild attunement),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_MuffaloGenetrainerEffect.description,"This genetrainer gives the wild attunement health state, increasing plant work speed, carrying capacity, foraging and... leather amount.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_CanineGenetrainerEffect.label,canine genetrainer (wolf speed),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_CanineGenetrainerEffect.description,"This genetrainer gives the wolf speed health state, increasing movement speed, eating speed and immunity gain speed.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_RodentGenetrainerEffect.label,rodent genetrainer (gregarious),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_RodentGenetrainerEffect.description,"This genetrainer gives the gregarious health state, increasing all social capacities.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_ReptileGenetrainerEffect.label,reptile genetrainer (cold blood),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_ReptileGenetrainerEffect.description,"This genetrainer gives the cold blood health state, making the subject more stealthy and resistant to high temperatures.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_InsectoidGenetrainerEffect.label,insectoid genetrainer (eusocial mind),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_InsectoidGenetrainerEffect.description,"This genetrainer gives the eusocial mind health state, making the subject specialized in construction and repair at the expense of plant and animal skills.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_EquineGenetrainerEffect.label,equine genetrainer (tireless),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_EquineGenetrainerEffect.description,"This genetrainer gives the tireless health state, making the subject need less rest.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_ColossalGenetrainerEffect.label,colossal genetrainer (animal affinity),label,HediffDef/Hediffs_Genetrainers.xml,def
GR_ColossalGenetrainerEffect.description,"This genetrainer gives the animal empathy health state, making the subject much more efficient when dealing with animals.\n\nGenetrainers are implants that do not take the place of any given organ. Only one can be ""installed"" at a time. Using a second genetrainer will have no effect and the genetrainer will be wasted. Bear in mind that a genetrainer modifies the genes of the human subject, and only death will get rid of its effects.",description,HediffDef/Hediffs_Genetrainers.xml,def
GR_AnimalControlImplant.label,animal controller,label,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_AnimalControlImplant.labelNoun,an animal controller,labelNoun,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_AnimalControlImplant.description,An installed animal controller implant. This implant will allow this creature to be drafted and controlled by the player.,description,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_HybridArmor.label,animal Implant: mecha-skin,label,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_HybridArmor.description,"A synthetic skin mesh consisting on a fortified lattice of networked mechanites that covers the entirety of this animal's surface, protecting it from harm.",description,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_HybridAttack.label,animal Implant: rending plasteel claws,label,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_HybridAttack.description,Sharp plasteel claws extending from one of the animal's legs. These can be used as a powerful melee weapon.,description,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_HybridAttack.comps.0.tools.0.label,rending plasteel claws,label,HediffDef/Hediffs_Local_Implants_Animals.xml,def
GR_UseGenetrainer.reportString,using genetrainer.,reportString,JobDef/Jobs_Work.xml,def
GR_Craft_GenderSelector_Female.label,Craft Gender selector: female,label,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Female.description,Craft a gender selector: female booster.,description,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Female_Bulk.label,Craft 5x Gender selector: female,label,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Female_Bulk.description,Craft gender selector: female boosters in bulk.,description,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Male.label,Craft Gender selector: male,label,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Male.description,Craft a gender selector: male booster.,description,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Male_Bulk.label,Craft 5x Gender selector: male,label,RecipeDef/Recipes_Boosters.xml,def
GR_Craft_GenderSelector_Male_Bulk.description,Craft gender selector: male boosters in bulk.,description,RecipeDef/Recipes_Boosters.xml,def
GR_CraftBearGenetrainer.label,craft ursine genome genetrainer,label,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftBearGenetrainer.description,Craft ursine genome genetrainer. Genetrainers are implants that do not take the place of any given organ. This will require the repurposing of any mech serum.,description,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftBearGenetrainer.jobString,Craft ursine genome genetrainer.,jobString,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftBoomGenetrainer.label,craft boom genome genetrainer,label,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftBoomGenetrainer.description,Craft boom genome genetrainer. Genetrainers are implants that do not take the place of any given organ. This will require the repurposing of any mech serum.,description,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftBoomGenetrainer.jobString,Craft boom genome genetrainer.,jobString,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftFelineGenetrainer.label,craft feline genome genetrainer,label,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftFelineGenetrainer.description,Craft feline genome genetrainer. Genetrainers are implants that do not take the place of any given organ. This will require the repurposing of any mech serum.,description,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftFelineGenetrainer.jobString,Craft feline genome genetrainer.,jobString,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftAvianGenetrainer.label,craft avian genome genetrainer,label,RecipeDef/Recipes_Genetrainers.xml,def
GR_CraftAvianGenetrainer.description,Craft avian genome genetrainer. Genetrainers are implants that do not take the place of any given organ. This will require the repurposing of any mech serum.,description,RecipeDef/Recipes_Genetrainers.xml,def
