key,text,tag,file,type
GR_MantisBird.label,mantis bird,label,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.0.customLabel,left elytra,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.1.customLabel,right elytra,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.4.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.4.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.4.parts.0.parts.3.customLabel,left antenna,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.4.parts.0.parts.4.customLabel,right antenna,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.5.customLabel,front left mantis leg,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.6.customLabel,front right mantis leg,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.7.customLabel,left leg,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.7.parts.0.customLabel,left claw,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.8.customLabel,right leg,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_MantisBird.corePart.parts.8.parts.0.customLabel,right claw,customLabel,BodyDef/Bodies_Animal_Bird_Megafauna.xml,def
GR_QuadrupedAnimalWithPawsAndHorn.label,quadruped animal,label,BodyDef/Bodies_Animal_Quadruped_Megafauna.xml,def
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.3.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_Quadruped_Megafauna.xml,def
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.4.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_Quadruped_Megafauna.xml,def
