key,text,tag,file,type
IncubatorProgress,Incubator progress,IncubatorProgress,Misc_Gameplay.xml,keyed
ResourceGrowth,Resource growth,ResourceGrowth,Misc_Gameplay.xml,keyed
FeatherGrowth,Feather growth,FeatherGrowth,Misc_Gameplay.xml,keyed
JellyGrowth,Royal jelly fullness,JellyGrowth,Misc_Gameplay.xml,keyed
VanillaJellyGrowth,Insect jelly fullness,VanillaJellyGrowth,Misc_Gameplay.xml,keyed
SilkGrowth,Silk growth,SilkGrowth,Misc_Gameplay.xml,keyed
PoisonGrowth,Poison fullness,PoisonGrowth,Misc_Gameplay.xml,keyed
GR_Neutroamine,Neutroamine production time,GR_Neutroamine,Misc_Gameplay.xml,keyed
GR_GoJuice,Go-Juice production,GR_GoJuice,Misc_Gameplay.xml,keyed
TentacleGrowth,Trimmable tentacle growth,TentacleGrowth,Misc_Gameplay.xml,keyed
JellyGrowthEldritch,Eldritch jelly fullness,JellyGrowthEldritch,Misc_Gameplay.xml,keyed
ChocolateEgg,Chocolate egg growth,ChocolateEgg,Misc_Gameplay.xml,keyed
Cryofuel,Deepchem production,Cryofuel,Misc_Gameplay.xml,keyed
ChemfuelProd,Chemfuel production,ChemfuelProd,Misc_Gameplay.xml,keyed
NeutroglycerinProd,Neutroglycerin production,NeutroglycerinProd,Misc_Gameplay.xml,keyed
ComponentIndustrialDesc,Industrial Component production,ComponentIndustrialDesc,Misc_Gameplay.xml,keyed
CastoreumProd,Castoreum production,CastoreumProd,Misc_Gameplay.xml,keyed
GR_AgeDiseaseLabel,Genetic disease,GR_AgeDiseaseLabel,Misc_Gameplay.xml,keyed
GR_AgeDiseaseText,"{0} has reached the limit of its stable lifespan, and has acquired a genetic disease: {1}\n\nGenetic diseases are incurable. They can be treated to delay the inevitable, but the animal will eventually perish.",GR_AgeDiseaseText,Misc_Gameplay.xml,keyed
GR_LackOfLove,Dying due to lack of love in: {0},GR_LackOfLove,Misc_Gameplay.xml,keyed
GR_CellularDegeneration,Cellular degeneration in: {0},GR_CellularDegeneration,Misc_Gameplay.xml,keyed
GR_CantResurrect,Animals that have been extracted can't be resurrected.,GR_CantResurrect,Misc_Gameplay.xml,keyed
GR_GeneticDiseasesIn,Genetic Diseases in: {0},GR_GeneticDiseasesIn,Misc_Gameplay.xml,keyed
GR_FleshGrowth,Spreading in darkness and producing flesh flies periodically. Destroy it as fast as possible!,GR_FleshGrowth,Misc_Gameplay.xml,keyed
GR_GrowthCell_InspectDominant,Dominant Gene: {0},GR_GrowthCell_InspectDominant,Misc_Gameplay.xml,keyed
GR_GrowthCell_InspectSecondary,Secondary Gene: {0},GR_GrowthCell_InspectSecondary,Misc_Gameplay.xml,keyed
GR_GrowthCell_InspectGenoframe,Genoframe: {0},GR_GrowthCell_InspectGenoframe,Misc_Gameplay.xml,keyed
GR_GrowthCell_InspectBooster,Booster: {0},GR_GrowthCell_InspectBooster,Misc_Gameplay.xml,keyed
GR_GrowthCell_InsertInElectroWomb,Insert {1} cell (size {2}) into {0},GR_GrowthCell_InsertInElectroWomb,Misc_Gameplay.xml,keyed
GR_ArchoGrowthCell_InsertInElectroWomb,Insert archotech growth cell into {0},GR_ArchoGrowthCell_InsertInElectroWomb,Misc_Gameplay.xml,keyed
GR_DestroyedByTemp,{0} has been destroyed by temperature (needs between 0 and 50 ºC),GR_DestroyedByTemp,Misc_Gameplay.xml,keyed
GR_NoValidExtraction,No valid genes can be extracted from this animal with this extractor,GR_NoValidExtraction,Misc_Gameplay.xml,keyed
GR_AlreadyExtracted,This animal has already had its genetic material extracted,GR_AlreadyExtracted,Misc_Gameplay.xml,keyed
GR_ExcavatorUsesLeft,This genome excavator has {0} uses left,GR_ExcavatorUsesLeft,Misc_Gameplay.xml,keyed
GR_ExtractionFailed,"The animal can't be reached by the colonist, or is being interacted with by another colonist",GR_ExtractionFailed,Misc_Gameplay.xml,keyed
GR_Genomorpher_Progress,Progress: {0},GR_Genomorpher_Progress,Misc_Gameplay.xml,keyed
GR_DesignateGrowthCell,Designate a growth cell,GR_DesignateGrowthCell,Misc_Gameplay.xml,keyed
GR_DesignateGrowthCellDesc,"Select genomes, genoframe and optionally a booster to create a growthcell of a selected hybrid",GR_DesignateGrowthCellDesc,Misc_Gameplay.xml,keyed
GR_GenomorpherExplanation,"Select genomes, genoframe and optionally a booster to create a growthcell of a selected hybrid",GR_GenomorpherExplanation,Misc_Gameplay.xml,keyed
GR_GenomorpherExplanationPartTwo,Use immunity boosters or use safer genome combinations to lower the risk of failure.,GR_GenomorpherExplanationPartTwo,Misc_Gameplay.xml,keyed
GR_PredictedOutcomes,Predicted Outcomes,GR_PredictedOutcomes,Misc_Gameplay.xml,keyed
GR_FailureOutcome,Failure Outcome,GR_FailureOutcome,Misc_Gameplay.xml,keyed
GR_SelectDominantGenome,Select dominant genome,GR_SelectDominantGenome,Misc_Gameplay.xml,keyed
GR_SelectDominantGenomeExplanation,Dominant genome affects primary characteristics of the hybrid,GR_SelectDominantGenomeExplanation,Misc_Gameplay.xml,keyed
GR_SelectSecondaryGenome,Select secondary genome,GR_SelectSecondaryGenome,Misc_Gameplay.xml,keyed
