key,text,tag,file,type
VanillaHairExpanded.SettingsCategory,Vanilla Hair Expanded,VanillaHairExpanded.SettingsCategory,Keys.xml,keyed
VanillaHairExpanded.Beards_ToolTip,Whether or not beards are rendered on pawns.,VanillaHairExpanded.Beards_ToolTip,Keys.xml,keyed
VanillaHairExpanded.ChangeHairstyle,Change hairstyle,VanillaHairExpanded.ChangeHairstyle,Keys.xml,keyed
VanillaHairExpanded.Hairstyles,Hairstyles,VanillaHairExpanded.Hairstyles,Keys.xml,keyed
VanillaHairExpanded.Beards,Beards,VanillaHairExpanded.Beards,Keys.xml,keyed
VanillaHairExpanded.CustomMode,Colour sliders,VanillaHairExpanded.CustomMode,Keys.xml,keyed
VanillaHairExpanded.ColoursTied,Colours tied,VanillaHairExpanded.ColoursTied,Keys.xml,keyed
VHE_Gangster.label,gangster,label,HairDef/HairsBlue.xml,def
VHE_Maniac.label,maniac,label,HairDef/HairsBlue.xml,def
VHE_Midlife.label,midlife,label,HairDef/HairsBlue.xml,def
VHE_Gentleman.label,gentleman,label,HairDef/HairsBlue.xml,def
VHE_Willow.label,willow,label,HairDef/HairsBlue.xml,def
VHE_Strongman.label,strongman,label,HairDef/HairsBlue.xml,def
VHE_Bereaved.label,bereaved,label,HairDef/HairsBlue.xml,def
VHE_Librarian.label,librarian,label,HairDef/HairsBlue.xml,def
VHE_Buzzcut.label,buzzcut,label,HairDef/HairsBlue.xml,def
VHE_FauxHawk.label,faux hawk,label,HairDef/HairsBlue.xml,def
VHE_HighTop.label,high top,label,HairDef/HairsBlue.xml,def
VHE_ShortAfro.label,small afro,label,HairDef/HairsBlue.xml,def
VHE_Slicked.label,slicked,label,HairDef/HairsBlue.xml,def
VHE_Vile.label,vile,label,HairDef/HairsBlue.xml,def
VHE_Oskar.label,oskar,label,HairDef/HairsBlue.xml,def
VHE_SlickedShort.label,slicked short,label,HairDef/HairsBlue.xml,def
VHE_Smith.label,smith,label,HairDef/HairsBlue.xml,def
VHE_Regal.label,regal,label,HairDef/HairsBlue.xml,def
VHE_Braid.label,braid,label,HairDef/HairsBlue.xml,def
VHE_Messy.label,messy,label,HairDef/HairsBlue.xml,def
VHE_Part.label,part,label,HairDef/HairsBlue.xml,def
VHE_Quaf.label,quaf,label,HairDef/HairsBlue.xml,def
VHE_Slick.label,slick,label,HairDef/HairsBlue.xml,def
VHE_Fox.label,fox,label,HairDef/HairsBlue.xml,def
VHE_Long.label,long,label,HairDef/HairsBlue.xml,def
VHE_PinUp.label,pin up,label,HairDef/HairsBlue.xml,def
VHE_SideBraid.label,side braid,label,HairDef/HairsBlue.xml,def
VHE_TwoTails.label,two tails,label,HairDef/HairsBlue.xml,def
VHE_Beautiful.label,beautiful,label,HairDef/HairsBlue.xml,def
VHE_Brave.label,brave,label,HairDef/HairsBlue.xml,def
VHE_Festive.label,festive,label,HairDef/HairsBlue.xml,def
VHE_Hideout.label,hideout,label,HairDef/HairsBlue.xml,def
VHE_LongAfro.label,long afro,label,HairDef/HairsBlue.xml,def
VHE_Dean.label,dean,label,HairDef/HairsBlue.xml,def
VHE_Sam.label,sam,label,HairDef/HairsBlue.xml,def
VHE_Farmboy.label,farmboy,label,HairDef/HairsCyan.xml,def
VHE_Senator.label,senator,label,HairDef/HairsCyan.xml,def
VHE_Smuggler.label,smuggler,label,HairDef/HairsCyan.xml,def
VHE_Celebrity.label,celebrity,label,HairDef/HairsCyan.xml,def
VHE_FlatAfro.label,flat afro,label,HairDef/HairsCyan.xml,def
VHE_Karen.label,karen,label,HairDef/HairsCyan.xml,def
VHE_LongPonytail.label,long ponytail,label,HairDef/HairsCyan.xml,def
VHE_Sad.label,sad,label,HairDef/HairsCyan.xml,def
VHE_Annointed.label,annointed,label,HairDef/HairsGreen.xml,def
VHE_Chosen.label,chosen,label,HairDef/HairsGreen.xml,def
VHE_Distinguished.label,distinguished,label,HairDef/HairsGreen.xml,def
VHE_Hardened.label,hardened,label,HairDef/HairsGreen.xml,def
VHE_Monk.label,monk,label,HairDef/HairsGreen.xml,def
VHE_Mother.label,mother,label,HairDef/HairsGreen.xml,def
VHE_Princess.label,princess,label,HairDef/HairsGreen.xml,def
VHE_Queen.label,queen,label,HairDef/HairsGreen.xml,def
VHE_Unkept.label,unkept,label,HairDef/HairsGreen.xml,def
VHE_Widow.label,widow,label,HairDef/HairsGreen.xml,def
VHE_Sanchez.label,sanchez,label,HairDef/HairsRed.xml,def
VHE_Mortimer.label,mortimer,label,HairDef/HairsRed.xml,def
VHE_Summer.label,summer,label,HairDef/HairsRed.xml,def
VHE_Jerry.label,jerry,label,HairDef/HairsRed.xml,def
VHE_Beth.label,beth,label,HairDef/HairsRed.xml,def
VHE_Dapp.label,dapp,label,HairDef/HairsRed.xml,def
VHE_Connor.label,connor,label,HairDef/HairsRed.xml,def
VHE_Flak.label,flak,label,HairDef/HairsRed.xml,def
VHE_Shelby.label,shelby,label,HairDef/HairsRed.xml,def
VHE_Blinder.label,blinder,label,HairDef/HairsRed.xml,def
VHE_Mohawk.label,mohawk,label,HairDef/HairsRed.xml,def
VHE_Dusk.label,dusk,label,HairDef/HairsRed.xml,def
VHE_Faerie.label,faerie,label,HairDef/HairsRed.xml,def
VHE_Cyberpunk.label,cyberpunk,label,HairDef/HairsRed.xml,def
VHE_Raider.label,raider,label,HairDef/HairsRed.xml,def
VHE_Private.label,private,label,HairDef/HairsRed.xml,def
VHE_Sarge.label,sarge,label,HairDef/HairsRed.xml,def
VHE_Corporal.label,corporal,label,HairDef/HairsRed.xml,def
VHE_Major.label,major,label,HairDef/HairsRed.xml,def
VHE_General.label,general,label,HairDef/HairsRed.xml,def
VHE_Abigail.label,abigail,label,HairDef/HairsRed.xml,def
VHE_Bill.label,bill,label,HairDef/HairsRed.xml,def
VHE_Dutch.label,dutch,label,HairDef/HairsRed.xml,def
VHE_Grimshaw.label,grimshaw,label,HairDef/HairsRed.xml,def
VHE_Marston.label,marston,label,HairDef/HairsRed.xml,def
VHE_Micah.label,micah,label,HairDef/HairsRed.xml,def
VHE_Pearson.label,pearson,label,HairDef/HairsRed.xml,def
VHE_Aslaug.label,aslaug,label,HairDef/HairsViking.xml,def
VHE_Erik.label,erik,label,HairDef/HairsViking.xml,def
VHE_Bjorn.label,bjorn,label,HairDef/HairsViking.xml,def
VHE_Egil.label,egil,label,HairDef/HairsViking.xml,def
VHE_Freydis.label,freydis,label,HairDef/HairsViking.xml,def
VHE_Frida.label,frida,label,HairDef/HairsViking.xml,def
VHE_Gunnar.label,gunnar,label,HairDef/HairsViking.xml,def
VHE_Halfdan.label,halfdan,label,HairDef/HairsViking.xml,def
VHE_Harald.label,harald,label,HairDef/HairsViking.xml,def
VHE_Helga.label,helga,label,HairDef/HairsViking.xml,def
VHE_Lagertha.label,lagertha,label,HairDef/HairsViking.xml,def
VHE_Ragnar.label,ragnar,label,HairDef/HairsViking.xml,def
VHE_Sigurd.label,sigurd,label,HairDef/HairsViking.xml,def
VHE_Ulfrik.label,ulfrik,label,HairDef/HairsViking.xml,def
VHE_Dreadlock.label,dreadlock,label,HairDef/HairsYellow.xml,def
VHE_Mystic.label,mystic,label,HairDef/HairsYellow.xml,def
VHE_Straight.label,straight,label,HairDef/HairsYellow.xml,def
VHE_Twisted.label,twisted,label,HairDef/HairsYellow.xml,def
VHE_Wrap.label,wrap,label,HairDef/HairsYellow.xml,def
VHE_Barren.label,barren,label,HairDef/HairsYellow.xml,def
VHE_BattleBraids.label,battle braids,label,HairDef/HairsYellow.xml,def
VHE_ScorpionKing.label,scorpion king,label,HairDef/HairsYellow.xml,def
VHE_TuftHawk.label,tufthawk,label,HairDef/HairsYellow.xml,def
VHE_Wilderness.label,wilderness,label,HairDef/HairsYellow.xml,def
VHE_BraidedHawk.label,braided hawk,label,HairDef/HairsYellow.xml,def
VHE_FireKeeper.label,fire keeper,label,HairDef/HairsYellow.xml,def
VHE_Hunter.label,hunter,label,HairDef/HairsYellow.xml,def
VHE_Tribal.label,tribal,label,HairDef/HairsYellow.xml,def
VHE_Warrior.label,warrior,label,HairDef/HairsYellow.xml,def
VHE_BattleBraid.label,battle knot,label,HairDef/HairsYellow.xml,def
VHE_DoubleHawk.label,double hawk,label,HairDef/HairsYellow.xml,def
VHE_HalfShaved.label,half-shaved,label,HairDef/HairsYellow.xml,def
VHE_Tower.label,tower,label,HairDef/HairsYellow.xml,def
VHE_Spikey.label,spikey,label,HairDef/HairsYellow.xml,def
Medieval.label,medieval,label,StyleItemCategoryDef/StyleItemCategoryDefs.xml,def
VHE_ChangeHairstyle.reportString,changing hairstyle at TargetA.,reportString,JobDef/Jobs_Misc.xml,def
VHE_TableBarber.label,barber's table,label,ThingDef/Buildings_Misc.xml,def
VHE_TableBarber.description,A table equipped with various tools suited for restyling hair and beards.,description,ThingDef/Buildings_Misc.xml,def
VHE_Filth_Hair.label,hair,label,ThingDef/Filth_Various.xml,def
