key,text,tag,file,type
VME_Cultured.label,cultured,label,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.description,Reading and passing on knowledge is a most scholarly mission.,description,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.0,memeAdjective->cultured,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.1,memeAdjective->enlightened,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.2,memeAdjective->well educated,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.3,memeAdjective->erudite,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.4,memeAdjective->knowledgeable,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.5,memeConcept->book writing,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.6,memeConcept->reading,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.7,memeLeaderNoun->librarian,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.generalRules.rulesStrings.8,memeMoralist->scribe,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_Cultured)        ->[deity0_name] taught all of [deity0_possessive] followers the secrets of writing: ""Write all the words which I have spoken to you in a book.""",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_Cultured)  ->[deity0_name] said to all the [memberNamePlural], ""Every scribe who has become a disciple of the kingdom of heaven is like a head of a household, who brings out of his treasure things new and old.""",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_Cultured)           ->[memberNamePlural] built a great library on the [place_summary] [place_name], and filled it with wondrous books and scrolls containing the wisdom of their ancestors.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_Cultured)        ->A simpleton [foeLeader], seeking to deny the will of [deity0_name], told [foeLeader_possessive] [foeSoldiers] to burn all the knowledge to ashes, for [foeLeader_pronoun] was a raging anti-intellectual.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_Cultured)     ->[deity0_name] blessed a [place_job] named [founderName] with [deity0_possessive] infinite knowledge, and [founder_pronoun] transcribed all the knowledge of the [memberNamePlural] into nearly indestructuble data cores.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.5,victory(tag=meme_Cultured)         ->The [foeSoldiers] succeeded in burning and destroying all the ancient books of the [memberNamePlural] but it didn't matter: the data was already safe thanks to the efforts of [founderName].,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.6,"setup(tag=meme_Cultured)           ->Our founder [founderName] was a writer, one of the greatest the galaxy has ever seen. [founderName_possessive] prose allowed you to visit far away worlds and lose yourself in intricate fantasies.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_Cultured)    ->[founderName] taught us that a society that doesn't value the written tradition is lost.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.8,"lessonIntro(tag=meme_Cultured)         ->I have writing books for most of my life, and I have learned one main thing:",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.9,lesson(tag=meme_Cultured)              ->there is no greater agony than bearing an untold story inside you,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.10,"lessonReinforcement(tag=meme_Cultured) ->If there's a book that you want to read, but it hasn't been written yet, then you must write it.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.11,"archistBasis(tag=meme_Cultured)    ->The archotechs value knowledge above all things, and respect the written traditions of humanity.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.12,"archistFact(tag=meme_Cultured)     ->Archotechs wouldn't want us to be uneducated simpletons, moving through life like mindless automatons.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.13,"archistProphecy(tag=meme_Cultured) ->[inTheEnd], the archotechs will only choose for transcendence those who are cultured and educated enough.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.14,"animistFact(tag=meme_Cultured)     ->The spirits want us to develop our intelligence, to be cultured and educated, for a simple mind is offensive to them.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.15,"serketistProphecy(tag=meme_Cultured)->[itIsSaid] we will set the insect's knowledge in tablets of obdisian, so their divine words can't be erased by the passage of time.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.16,chthonianProphecy(tag=meme_Cultured)->A Black Tome of forbidden magic is said to contain insights to the madness of these transhuman intelligences. Perhaps our scribes will one day decipher its eldritch message.,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.17,esotericismProphecy(tag=meme_Cultured)->Only with careful study of the most obscure arcane texts can we hope to unlock these secrets.,li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.18,"eschatologismFact(tag=meme_Cultured)->Three scrolls written with the blood of our enemies in human skin parchment will be the testament of our victory, and upon seeing them our enemies will only know fear.",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_Cultured.descriptionMaker.rules.rulesStrings.19,"introMemo(tag=meme_Cultured)->I'm so tired, SO tired of having to remind you this... PLEASE, for all that is holy, DOCUMENT YOUR CODE! Undocumented code is useless down the line, and I don't want to have to train the next developer into deciphering the vague code ramblings of the last person who ""conveniently forgot"" to do it! Come on, people!",li,MemeDef/Memes_VanillaBooksExpanded.xml,def
VME_BookReading.label,book reading,label,IssueDef/Precepts_BookReading_VBE.xml,def
VME_ReadBook.label,read book,label,HistoryEventDef/Precepts_BookReading_VBE.xml,def
VME_BookReading_Desired.label,desired,label,PreceptDef/Precepts_BookReading_VBE.xml,def
