key,text,tag,file,type
VanillaIdeoExpandedRelicsAndArtifacts.label,Vanilla Ideology Expanded - Relics and Artifacts,label,VEF.OptionalFeatures.ModDef/Misc.xml,def
VanillaIdeoExpandedRelicsAndArtifacts.description,New VE mod hype,description,VEF.OptionalFeatures.ModDef/Misc.xml,def
VIE_RelicInertAmulet.label,amulet,label,ThingDef/Relics.xml,def
VIE_RelicInertAntlers.label,antlers,label,ThingDef/Relics.xml,def
VIE_RelicInertApple.label,orb,label,ThingDef/Relics.xml,def
VIE_RelicInertAxeHead.label,axe head,label,ThingDef/Relics.xml,def
VIE_RelicInertBone.label,bone,label,ThingDef/Relics.xml,def
VIE_RelicInertBook.label,book,label,ThingDef/Relics.xml,def
VIE_RelicInertBottle.label,bottle,label,ThingDef/Relics.xml,def
VIE_RelicInertBowl.label,bowl,label,ThingDef/Relics.xml,def
VIE_RelicInertBracelet.label,bracelet,label,ThingDef/Relics.xml,def
VIE_RelicInertBrokenMask.label,broken mask,label,ThingDef/Relics.xml,def
VIE_RelicInertBrokenSpear.label,broken spear,label,ThingDef/Relics.xml,def
VIE_RelicInertBucket.label,bucket,label,ThingDef/Relics.xml,def
VIE_RelicInertCeremonialMask.label,ceremonial mask,label,ThingDef/Relics.xml,def
VIE_RelicInertChain.label,chain,label,ThingDef/Relics.xml,def
VIE_RelicInertEngine.label,tech,label,ThingDef/Relics.xml,def
VIE_RelicInertEngram.label,engram,label,ThingDef/Relics.xml,def
VIE_RelicInertFossil.label,fossil,label,ThingDef/Relics.xml,def
VIE_RelicInertGauntlet.label,gauntlet,label,ThingDef/Relics.xml,def
VIE_RelicInertHorn.label,horn,label,ThingDef/Relics.xml,def
VIE_RelicInertIdol.label,idol,label,ThingDef/Relics.xml,def
VIE_RelicInertImplant.label,implant,label,ThingDef/Relics.xml,def
VIE_RelicInertInsectSkull.label,insect skull,label,ThingDef/Relics.xml,def
VIE_RelicInertMechanoidHead.label,mechanoid head,label,ThingDef/Relics.xml,def
VIE_RelicInertMedallion.label,medallion,label,ThingDef/Relics.xml,def
VIE_RelicInertMug.label,mug,label,ThingDef/Relics.xml,def
VIE_RelicInertPlate.label,slag,label,ThingDef/Relics.xml,def
VIE_RelicInertPolishedRock.label,polished rock,label,ThingDef/Relics.xml,def
VIE_RelicInertPyramid.label,pyramid,label,ThingDef/Relics.xml,def
VIE_RelicInertRing.label,ring,label,ThingDef/Relics.xml,def
VIE_RelicInertScroll.label,scroll,label,ThingDef/Relics.xml,def
VIE_RelicInertShroud.label,shroud,label,ThingDef/Relics.xml,def
VIE_RelicInertSkull.label,skull,label,ThingDef/Relics.xml,def
VIE_RelicInertStack.label,stack,label,ThingDef/Relics.xml,def
VIE_RelicInertStatuette.label,statuette,label,ThingDef/Relics.xml,def
VIE_RelicInertSword.label,broken sword,label,ThingDef/Relics.xml,def
VIE_RelicInertTools.label,tools,label,ThingDef/Relics.xml,def
