key,text,tag,file,type
VPE_MushroomGrowingZone,Mushroom Growing Zone,VPE_MushroomGrowingZone,Misc_Gameplay.xml,keyed
VPE_MushroomGrowingZoneDesc,Create a zone where your colonists will try to grow mushrooms. Bear in mind that terrain will still need the fertility required by the mushroom to be sown.,VPE_MushroomGrowingZoneDesc,Misc_Gameplay.xml,keyed
VPE_AteBlisscap.label,high on blisscap,label,HediffDef/Hediffs_Global_Misc.xml,def
VPE_AteBlisscap.description,"This person has consumed blisscap, which makes people incredibly high, but also incredibly drowsy.",description,HediffDef/Hediffs_Global_Misc.xml,def
VPE_WeaveClothFromMycothread.label,weave cloth from mycothread,label,RecipeDef/Recipes_Production.xml,def
VPE_WeaveClothFromMycothread.description,Weaves cloth from mycothread.,description,RecipeDef/Recipes_Production.xml,def
VPE_WeaveClothFromMycothread.jobString,Making cloth from mycothread.,jobString,RecipeDef/Recipes_Production.xml,def
VPE_Bileceps.label,raw bileceps,label,ThingDef/Items_Resource_RawPlant.xml,def
VPE_Bileceps.description,Harvested bileceps. Can be cooked into meals or eaten raw.,description,ThingDef/Items_Resource_RawPlant.xml,def
VPE_Blisscap.label,raw blisscap,label,ThingDef/Items_Resource_RawPlant.xml,def
VPE_Blisscap.description,"Raw blisscap obtained by harvesting blisscap mushrooms. When eaten, makes people incredibly high, but also incredibly drowsy.",description,ThingDef/Items_Resource_RawPlant.xml,def
VPE_Mycothread.label,mycothread,label,ThingDef/Items_Resource_Stuff.xml,def
VPE_Mycothread.description,"Cotton-like, edible fabric extracted from mycothread mushrooms. It’s soft to the touch and easy to work with, deteriorates quickly, has an unusual color, and oddly still smells and tastes like mushrooms.",description,ThingDef/Items_Resource_Stuff.xml,def
VPE_Plant_Timbercap.label,timbercap,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Timbercap.description,"A short, brown mushroom with a hard stem. When harvested, it yields a small amount of wood-like substance.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Healtruffle.label,healtruffle,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Healtruffle.description,"Healtruffle is a mushroom that grows slowly by using nutrients from rotstink - it requires a supply of rotstink gas around it in order to grow. Harvesting it gives you herbal medicine. However, it takes a lot of work to plant and collect because it's very delicate. It's been grown for a long time by settlers for its medicinal properties.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Stinker.label,stinker,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Stinker.description,"A small, fast-growing mushroom that forms large patches. It produces rotstink through a chemical process. Despite its unpleasant odor, it can be harvested for edible fungus. It can grow anywhere, however exposure to sunlight will kill it.\n\n<color=#E5E54C>Gameplay effect:</color> Contrary to other mushrooms, stinkers can handle light source up to 50% luminosity, such as torches.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Blisscap.label,blisscap,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Blisscap.description,"A long, light-blue mushroom that offers more than just sustenance. Eating it induces a state of blissful happiness, making the consumer exceptionally content, yet notably drowsy. It is known to greatly enhance the psychic sensitivity of whoever eats it, and is often consumed by hippie communities on various core planets, allowing them to ‘see into the future’.\n\n<color=#E5E54C>Gameplay effect:</color> Contrary to other plants, blisscap ignores light levels for growth. Sunlight won't destroy it. It will still rest during the night period.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Lullabloom.label,lullabloom,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Lullabloom.description,"A special kind of mushroom that emits calming spores, ideal for planting next to a bed. Needs to be planted in a flower pot. Its presence soothes the sleeping individual, creating a more restful slumber and promoting overall comfort. Its gentle, sleep-inducing properties make it a favorite among colonists seeking a peaceful night's rest.\n\n<color=#E5E54C>Gameplay effect:</color> Contrary to other plants, lullabloom ignores light levels for growth. Sunlight won't destroy it. It will still rest during the night period.\n\nNullifies the ""disturbed sleep"" thought.\n\nWill link to vanilla and Vanilla Furniture Expanded beds.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Bileceps.label,bileceps,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Bileceps.description,"Bileceps is a peculiar, coral-like mushroom that thrives on the bile of decaying bodies. Despite its unappetizing source, it possesses a meaty flavor and offers a protein-rich harvest. Its distinctive, cancerous appearance does little to deter colonists from utilizing it as an alternate source of meat.\n\n<color=#E5E54C>Gameplay effect:</color> Requires corpse bile on its tile to grow properly. Time to get a Helixien slug!",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Glowcap.label,glowcap,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Glowcap.description,"A small blue mushroom typically found in caves. The smell it emits is absolutely repulsive - but it tastes surprisingly good when cooked. It lights up the area around it, but the light is not strong enough to grow crops.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Redcap.label,redcap,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Redcap.description,"A cultivated mushroom with a beautiful red cap and a somewhat short lifespan. Recaps are beautiful, but may need to be replanted often.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Zapcap.label,zapcap,label,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Plant_Zapcap.description,"A large, bulbous, beige mushroom that is known to produce small amounts of electricity as it grows. Needs to be placed on power conduits in order to use the newly produced energy. In case of an electrical short, zapcaps amplify the released energy, causing significantly more damage.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VPE_Building_Zapcap.label,zapcap,label,ThingDef/Plants_Cultivated_Farm.xml,def
