key,text,tag,file,type
VCE_SucculentSowing.label,succulent sowing,label,ResearchProjectDef/ResearchProjects_1.xml,def
VCE_SucculentSowing.description,"Sow the beautiful, long lasting succulents.",description,ResearchProjectDef/ResearchProjects_1.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
VCE_Plant_AloeVera.label,aloe vera plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_AloeVera.description,"A cultivated succulent with thick, greenish, fleshy leaves that fan out from the short stem. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_BunnyEarsCactus.label,bunny ears cactus,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_BunnyEarsCactus.description,"A cultivated succulent with pads resembling ears of a bunny, and spines resembling fuzzy fur. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_Echeveria.label,echeveria plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_Echeveria.description,"A cultivated succulent forming a rosette, native to arid shrublands. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_FairyWashboard.label,fairy washboard plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_FairyWashboard.description,"A cultivated succulent with rosette forming long triangular leaves. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_JadePlant.label,jade plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_JadePlant.description,"A cultivated succulent with thick, woody stems and oval-shaped leaves. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_PeyotePlant.label,peyote plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_PeyotePlant.description,"A cultivated succulent resembling thick buttons. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_PincushionPlant.label,pincushion plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_PincushionPlant.description,"A cultivated succulent of cactus variety, with pointy spikes covering its exterior. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_Schlumbergera.label,schlumbergera plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_Schlumbergera.description,"A cultivated succulent with bell-shaped flowers. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_SnakePlant.label,snake plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_SnakePlant.description,"A cultivated succulent with stiff, green banded leaves with a yellow border. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_SweetheartPlant.label,sweetheart plant,label,ThingDef/Plants_Cultivated_Decorative.xml,def
VCE_Plant_SweetheartPlant.description,"A cultivated succulent with heart-shaped leaves on a tall stem. Whilst not as beautiful as flowers, this plant has a very long lifespan.",description,ThingDef/Plants_Cultivated_Decorative.xml,def
