key,text,tag,file,type
VPEH.DeathrestBuilding,Is a deathrest building.,VPEH.DeathrestBuilding,Keys.xml,keyed
VPEH.DeathrestBuildingsNearby,{0} deathrest buildings nearby.,VPEH.DeathrestBuildingsNearby,Keys.xml,keyed
VPEH.HemogenTooLow,Hemogen is too low. Minimum {0} is required.,VPEH.HemogenTooLow,Keys.xml,keyed
VPEH.NoHemogenGene,Pawn does not have hemogen gene.,VPEH.NoHemogenGene,Keys.xml,keyed
VPEH.MustBeNotDessicated,Corpse must be not dessicated.,VPEH.MustBeNotDessicated,Keys.xml,keyed
VPEH.OnlyNonHemogenic,Cannot cast: target is hemogenic.,VPEH.OnlyNonHemogenic,Keys.xml,keyed
VPEH.CancelBloodfocus,Cancel Bloodfocus,VPEH.CancelBloodfocus,Keys.xml,keyed
VPEH.CancelBloodfocusDesc,Click to cancel Bloodfocus on the caster.,VPEH.CancelBloodfocusDesc,Keys.xml,keyed
VPEH.HemogenLetter,H,VPEH.HemogenLetter,Keys.xml,keyed
VPEH.OnlyHumanlikes,Cannot cast: target is not human,VPEH.OnlyHumanlikes,Keys.xml,keyed
VPEH_Bloodfocus.label,blood focus,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_Bloodfocus.description,"By forcibly manipulating the body’s stores of hemogen, the caster can enter a state of rapid meditation, regaining psyfocus at the cost of hemogen.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodShard.label,blood shard,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodShard.description,Launch a small amount of excess blood as a lethal projectile by forcibly expelling hemogen that has been solidified into a crystalline structure.,description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodSpew.label,blood spew,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodSpew.description,"Spew forth a fine mist of hemogen towards the targets, coating them in sticky, nauseating blood. Those affected are overcome with intense vomiting.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_CloseWounds.label,close wounds,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_CloseWounds.description,"Forcibly move excess blood to stop any ongoing bleeding. However, it does not actually heal.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_Hemodrain.label,hemodrain,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_Hemodrain.description,Forcibly extracts the blood of the target at a distance and converts it to hemogen. Practical but inefficient.,description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_CorpseExplosion.label,corpse explosion,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_CorpseExplosion.description,"Uses the caster’s hemogen to overstimulate the blood of a corpse, causing an explosion which deals no damage, but covers everyone in thick bloodmist. Those affected are overcome with intense vomiting.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_WordofOffering.label,word of offering,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_WordofOffering.description,Convinces the target to offer their blood to the caster. Can be used on visitors or even during combat.,description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_SanguineSpear.label,sanguine spear,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_SanguineSpear.description,"Launches a pressurized spear of blood over to the target, damaging the target and creating a bloodmist explosion. Damage depends on the caster's hemogen level.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodRite.label,blood rite,label,VEF.Abilities.AbilityDef/Hemosage.xml,def
VPEH_BloodRite.description,"Creates a mote of hemogen that follows the caster, acting as an amplifier for psychic sensitivity based on the caster’s current hemogen level.",description,VEF.Abilities.AbilityDef/Hemosage.xml,def
