key,text,tag,file,type
VQE_AirlockJammed,Airlock jammed shut. Must be forced open.,VQE_AirlockJammed,Keys.xml,keyed
VQE_ScavengeDesc,Clean up the {0} while searching for valuable materials.,VQE_ScavengeDesc,Keys.xml,keyed
VQE_Scavenge,Scavenge {0},VQE_Scavenge,Keys.xml,keyed
VQE_CancelScavenge,Cancel,VQE_CancelScavenge,Keys.xml,keyed
VQE_CancelScavengeDesc,Cancel scavenging this object.,VQE_CancelScavengeDesc,Keys.xml,keyed
VQE_StudyBlueprints,Study ancient blueprints,VQE_StudyBlueprints,Keys.xml,keyed
VQE_StudyBlueprintsDesc,Study the ancient blueprints and diagrams to gain inspiration for the next crafting project.,VQE_StudyBlueprintsDesc,Keys.xml,keyed
VQE_StudyBlackBox,Study ancient black box,VQE_StudyBlackBox,Keys.xml,keyed
VQE_StudyBlackBoxDesc,Access the data on the black box to find out what transpired.,VQE_StudyBlackBoxDesc,Keys.xml,keyed
VQE_InitiateScan,Initiate scan,VQE_InitiateScan,Keys.xml,keyed
VQE_InitiateScanDesc,Initiate the proximity scan to find large signatures in the area. The scan is bound to generate enough of an energy signature to attract a mechanoid hive.,VQE_InitiateScanDesc,Keys.xml,keyed
VQE_RestartGenerator,Restart generator,VQE_RestartGenerator,Keys.xml,keyed
VQE_RestartGeneratorDesc,"Restart the cryptogenerator. It has enough fuel to run continuously for three days, after which it will critically meltdown. The strong energy signature is bound to attract the mechanoid hive.",VQE_RestartGeneratorDesc,Keys.xml,keyed
VQE_RestartWarning,Restarting the cryptogenerator will cause continuous mechanoid attacks.,VQE_RestartWarning,Keys.xml,keyed
VQE_LootChunk,Scavenge,VQE_LootChunk,Keys.xml,keyed
VQE_ScanStarted,The scan will take some time to complete. Leaving the site will cancel the scan.,VQE_ScanStarted,Keys.xml,keyed
VQE_ScanComplete,The scan has completed.,VQE_ScanComplete,Keys.xml,keyed
VQE_Alert_CriticalCryptoGenerators,Cryptogenerator running low,VQE_Alert_CriticalCryptoGenerators,Keys.xml,keyed
VQE_Alert_CriticalCryptoGenerators_Desc,"A cryptogenerator only has enough fuel left for less than a day. When fuel runs out, it will meltdown, destroying everything in radius.",VQE_Alert_CriticalCryptoGenerators_Desc,Keys.xml,keyed
VQE_QuestCompletedMessage,"This is the only opportunity to craft more legendary crypto gear, provided you have the resources to do so. You can secure the site and send more resources in, but once you leave it, you will never be able to find it again.",VQE_QuestCompletedMessage,Keys.xml,keyed
VQE_HeroJoins,{PAWN_nameDef} joins,VQE_HeroJoins,Keys.xml,keyed
VQE_HeroJoinsDesc,"The {PAWN_title} known as {PAWN_nameDef} has emerged from a cryptosleep casket in a daze. Once they regain their bearings, they will join your colony.\n\n{PAWN_nameFull} is the legendary blacksmith of a renowned spacefaring civilization, famed for their mastery of cryptoparticle technology. A gifted crafter and battle-hardened warrior, {PAWN_labelShort} wears a set of cryptotech armor from their lost people. But beneath their skill and strength lies a heavy burden of guilt, a unique psychological condition born from the crushing sorrow of being the last living member of their civilization. This grief gnaws at {PAWN_possessive} mind over time, slowly deepening into despair. However, engaging in work that aligns with their passions: especially crafting, can slow the progression. If managed carefully, the guilt will eventually transform into acceptance, and with time, begin to fade.",VQE_HeroJoinsDesc,Keys.xml,keyed
VQE_ExtinguishCryptofreeze.label,extinguish,label,DamageDef/Damages_Misc.xml,def
VQE_CryptoCut.label,crypto cut,label,DamageDef/Damages_Misc.xml,def
VQE_CryptoSlowdown.label,crypto slowdown,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.description,"A chilling affliction caused by exposure to cryptofreeze energy. It weakens the target’s heat armor while simultaneously increasing their minimum comfortable temperature, making them more vulnerable to both extreme cold and heat while significantly reducing movement speed. If crypto slowdown reaches the maximum effect, the target becomes completely engulfed in cryptofreeze, causing severe damage.",description,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.stages.0.label,minor,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.stages.1.label,moderate,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.stages.2.label,major,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.stages.3.label,severe,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_CryptoSlowdown.stages.4.label,extreme,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_IceCrawlerHediff.description,The Ice crawler becomes more dangerous if it’s exposed to extremely cold temperatures.,description,HediffDef/Hediffs_Global_Misc.xml,def
VQE_IceCrawlerHediff.label,exposed to extreme cold,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_MegamidgeHediff.description,The Megamidge becomes more dangerous if it’s exposed to extremely cold temperatures.,description,HediffDef/Hediffs_Global_Misc.xml,def
VQE_MegamidgeHediff.label,exposed to extreme cold,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_MegamidgeHediff.comps.0.tools.0.label,head claw,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_BleedrateCrypto_5.stages.0.label,Armour,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_BleedrateCrypto_10.stages.0.label,Armour,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_BleedrateCrypto_20.stages.0.label,Armour,label,HediffDef/Hediffs_Global_Misc.xml,def
VQE_Guilt.label,guilt,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.description,"A deep psychological burden stemming from overwhelming remorse and sorrow caused by being the last remaining member of one's faction. This condition gradually consumes the mind with grief and despair, leading to worsening depression over time.",description,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.0.label,lingering guilt,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.1.label,growing remorse,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.2.label,deep regret,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.3.label,crushing guilt,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.4.label,tormenting sorrow,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.5.label,despairing isolation,label,HediffDef/Hediff_Guilt.xml,def
VQE_Guilt.stages.6.label,guilt (acceptance),label,HediffDef/Hediff_Guilt.xml,def
VQE_InitiateScan.reportString,scanning at TargetA.,reportString,JobDef/Jobs_Work.xml,def
VQE_RestartGenerator.reportString,restarting TargetA.,reportString,JobDef/Jobs_Work.xml,def
VQE_BeatCryptofreeze.reportString,beating cryptofreeze out.,reportString,JobDef/Jobs_Work.xml,def
VGE_ExtinguishCryptofreezeNearby.reportString,extinguishing cryptofreeze nearby.,reportString,JobDef/Jobs_Work.xml,def
VGE_ExtinguishSelfCryptofreeze.reportString,extinguishing self.,reportString,JobDef/Jobs_Work.xml,def
VQE_Play_WargamingTable.reportString,playing at wargaming table.,reportString,JobDef/Jobs_Work.xml,def
VQE_Gaming_StrategicPlay.label,strategic play,label,JoyKindDef/JoyKinds.xml,def
