key,text,tag,file,type
VREA.GivesAbility,Gives ability,VREA.GivesAbility,Keys.xml,keyed
VREA_ReturnsLabel,{0} returns,VREA_ReturnsLabel,Keys.xml,keyed
VREA_Returns,{0} returns,VREA_Returns,Keys.xml,keyed
VREA.PsychicStormWeatherBonusStatExplanation,Psychic storm bonus,VREA.PsychicStormWeatherBonusStatExplanation,Keys.xml,keyed
VRE_NeedsTranscendentToWield,Only transcendent individuals can wield this,VRE_NeedsTranscendentToWield,Keys.xml,keyed
VRE_LeapjumpLegs.label,leapjump,label,AbilityDef/LeapjumpLegs.xml,def
VRE_LeapjumpLegs.description,Jump to a distant location using super-strong archite-powered legs. Will cause damage to anyone in the landing zone.,description,AbilityDef/LeapjumpLegs.xml,def
VRE_LeapjumpLegs.verbProperties.label,leapjump,label,AbilityDef/LeapjumpLegs.xml,def
Transcendent.label,transcendent,label,CultureDef/Cultures.xml,def
Transcendent.description,A narrow collection of cultures from another dimension.,description,CultureDef/Cultures.xml,def
VREA_Sear.label,bomb,label,ToolCapacityDef/Damages.xml,def
VREA_Sear.label,sear,label,DamageDef/Damages.xml,def
VREA_Sear.deathMessage,{0} has been seared to death.,deathMessage,DamageDef/Damages.xml,def
VREA_Sear.label,sear,label,HediffDef/Damages.xml,def
VREA_Sear.labelNoun,a sear,labelNoun,HediffDef/Damages.xml,def
VREA_Sear.description,A sear.,description,HediffDef/Damages.xml,def
VREA_Sear.comps.0.labelTendedWell,bandaged,labelTendedWell,HediffDef/Damages.xml,def
VREA_Sear.comps.0.labelTendedWellInner,sutured,labelTendedWellInner,HediffDef/Damages.xml,def
VREA_Sear.comps.0.labelSolidTendedWell,set,labelSolidTendedWell,HediffDef/Damages.xml,def
VREA_Sear.comps.2.permanentLabel,sear scar,permanentLabel,HediffDef/Damages.xml,def
VREA_Sear.injuryProps.destroyedLabel,Seared off,destroyedLabel,HediffDef/Damages.xml,def
VREA_Sear.injuryProps.destroyedOutLabel,Seared out,destroyedOutLabel,HediffDef/Damages.xml,def
VRE_Archons.label,archons,label,FactionDef/Factions_Hidden.xml,def
VRE_Archons.pawnSingular,archon,pawnSingular,FactionDef/Factions_Hidden.xml,def
VRE_Archons.pawnsPlural,archons,pawnsPlural,FactionDef/Factions_Hidden.xml,def
VRE_Archons.fixedName,Archons,fixedName,FactionDef/Factions_Hidden.xml,def
VRE_EarlyMaturity.label,early maturity,label,GeneDef/GeneDefs_Aging.xml,def
VRE_EarlyMaturity.description,"Carriers of this gene reach skill maturity significantly earlier than others. They can do majority of tasks at the age of 4, and can do wardening, doctoring and construction at the age of 7.",description,GeneDef/GeneDefs_Aging.xml,def
VRE_Transcendent.label,transcendent,label,GeneDef/GeneDefs_Archite.xml,def
VRE_Transcendent.description,"Carriers of this gene have a direct link to a distant archotech, and part of their essence exists outside of our dimension. They are capable of using archon equipment, and in the event of death, they will skip back to another dimension only to return unscathed after some time has passed.",description,GeneDef/GeneDefs_Archite.xml,def
VRE_InnatePsylink.label,natural psylink,label,GeneDef/GeneDefs_Archite.xml,def
VRE_InnatePsylink.description,"Carriers of this gene have a slightly restructured brain, which provides them with a natural psylink.",description,GeneDef/GeneDefs_Archite.xml,def
VRE_PsychicAbility_MoreExtreme.label,extremely psy-sensitive,label,GeneDef/GeneDefs_Archite.xml,def
VRE_PsychicAbility_MoreExtreme.description,Carriers of this gene have archite-enhanced connection to the psychic. They have greatly enhanced psychic sensitivity and gain significantly more focus from meditation.,description,GeneDef/GeneDefs_Archite.xml,def
VRE_LeapjumpLegs.label,leapjump legs,label,GeneDef/GeneDefs_Archite.xml,def
VRE_LeapjumpLegs.description,"Carriers have special archite-powered muscle fibers in their legs which allow them to jump extremely great distances, causing blunt trauma to anyone unfortunate enough to be in the landing zone.",description,GeneDef/GeneDefs_Archite.xml,def
VRE_FastMeleeHitter.label,fast melee hitter,label,GeneDef/GeneDefs_CombatStats.xml,def
VRE_FastMeleeHitter.description,Carriers of this gene attack much quicker in close-quarters combat. Extra-fast muscle fibers make their strikes much faster.,description,GeneDef/GeneDefs_CombatStats.xml,def
VRE_SlowMeleeHitter.label,slow melee hitter,label,GeneDef/GeneDefs_CombatStats.xml,def
VRE_SlowMeleeHitter.description,Carriers of this gene attack significantly slower in close-quarters combat. Weak muscle fibers make their strikes much slower.,description,GeneDef/GeneDefs_CombatStats.xml,def
