key,text,tag,file,type
VRE_EnableCatHighmates,"Enable ""Cat genes"" on Highmates (requires game restart)",VRE_EnableCatHighmates,Misc_Gameplay.xml,keyed
VRE_EnableCatHighmatesDescription,Disabling this toggle will make newly created Highmates appear without the Feline ears and Feline tail genes. Bear in mind this will have no effect on already existing Highmates. Will require a game reload.,VRE_EnableCatHighmatesDescription,Misc_Gameplay.xml,keyed
VRE_NotEnoughLovin,Demands lovin',VRE_NotEnoughLovin,Misc_Gameplay.xml,keyed
VRE_LovinNeed,Lovin' need,VRE_LovinNeed,Misc_Gameplay.xml,keyed
VRE_LovinNeedDesc,"These people have a too low lovin' need (less than 50%). If they reach 0% lovin' in approximately 15 days, they will attempt to leave the colony:\n\n{0}",VRE_LovinNeedDesc,Misc_Gameplay.xml,keyed
VRE_MessageCantUseLovinOnOtherFactions,This ability can't be used on members of other factions,VRE_MessageCantUseLovinOnOtherFactions,Misc_Gameplay.xml,keyed
VRE_MessageCantUseLovinOnResistingPersons,This ability can't be used on enemies,VRE_MessageCantUseLovinOnResistingPersons,Misc_Gameplay.xml,keyed
VRE_CantUseLovinLowOpinion,{0} cannot initiate lovin’ with {1} as {1} has too low opinion of {0} (Opinion of {0}: {2}),VRE_CantUseLovinLowOpinion,Misc_Gameplay.xml,keyed
VRE_TooYoungForLovin,{0} cannot initiate lovin’ with {1} as {1} is too young.,VRE_TooYoungForLovin,Misc_Gameplay.xml,keyed
VRE_TooYoungForLovinCaster,{0} cannot initiate lovin’ with {1} as {0} is too young.,VRE_TooYoungForLovinCaster,Misc_Gameplay.xml,keyed
VRE_CantUseLovinWithTraitAsexual,{0} cannot initiate lovin’ with {1} as {1} is Asexual.,VRE_CantUseLovinWithTraitAsexual,Misc_Gameplay.xml,keyed
VRE_CantUseLovinWithTraitPrude,{0} cannot initiate lovin’ with {1} as {1} is a Prude.,VRE_CantUseLovinWithTraitPrude,Misc_Gameplay.xml,keyed
VRE_RelationshipWillBreak,"{0} will initiate lovin’ with {1}, despite being in a relationship with {2}. This will result in a break up.",VRE_RelationshipWillBreak,Misc_Gameplay.xml,keyed
VRE_RelationshipWillBreakTarget,"{0} will initiate lovin’ with {1}, despite the target, {1}, being in a relationship with {2}. This will result in a break up.",VRE_RelationshipWillBreakTarget,Misc_Gameplay.xml,keyed
VRE_CantUseOnFamily,"{0} can't initiate lovin’ with {1}, as they are blood relatives.",VRE_CantUseOnFamily,Misc_Gameplay.xml,keyed
VRE_PsychicConceptionDesc,Psychic conception (pregnancy guaranteed),VRE_PsychicConceptionDesc,Misc_Gameplay.xml,keyed
VRE_LovinForPleasureDesc,Lovin’ for pleasure (pregnancy chance x0%),VRE_LovinForPleasureDesc,Misc_Gameplay.xml,keyed
VRE_NoPsychicConceptionDesc,No psychic conception,VRE_NoPsychicConceptionDesc,Misc_Gameplay.xml,keyed
VRE_NoLovinForPleasureDesc,Normal lovin',VRE_NoLovinForPleasureDesc,Misc_Gameplay.xml,keyed
VRE_AwardedHighmate,Awarded Highmate,VRE_AwardedHighmate,Misc_Gameplay.xml,keyed
VRE_AwardedHighmateDesc,"Due to the newly acquired Baron rank, the Empire has awarded {0} with the presence of a Highmate, who will immediately join the colony.\n\nDesigned companions and concubines with a unique ability to psychically bond with a mate, highmates are empathic, beautiful, cheerful, and talented in social matters. They are also inept at manual tasks, physically weak, and mentally incapable of violence.",VRE_AwardedHighmateDesc,Misc_Gameplay.xml,keyed
VRE_InitiateLovin.label,initiate lovin',label,AbilityDef/Abilities.xml,def
VRE_InitiateLovin.description,"Approach the target and initiate lovin’ with them. If in relationship with anyone else, this will be considered cheating and will result in a break up, unless the ideo has the ""Lovin: Free and Approved"" precept.",description,AbilityDef/Abilities.xml,def
VRE_FelineEars.label,feline ears,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_FelineEars.description,"Carriers of this gene will have soft, furry, feline ears.",description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_FelineTail.label,feline tail,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_FelineTail.description,Carriers of this gene grow a furry tail that does not have any purpose other than decorative.,description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_PerfectBody.label,perfect body,label,GeneDef/GeneDefs_Cosmetic.xml,def
