key,text,tag,file,type
VRE_HussarsSettings,VRE - Hussar,VRE_HussarsSettings,Settings.xml,keyed
VREH_Label_onlyVanillaWeapon,Aptitudes are only for vanilla weapons,VREH_Label_onlyVanillaWeapon,Settings.xml,keyed
VREH_ToolTip_onlyVanillaWeapon,"If enabled, weapon aptitudes genes will not be generated for mods.

A restart is required.",VREH_ToolTip_onlyVanillaWeapon,Settings.xml,keyed
VREH_Label_allowNonBiocodableWeapon,Allow non-biocodable weapon,VREH_Label_allowNonBiocodableWeapon,Settings.xml,keyed
VREH_ToolTip_allowNonBiocodableWeapon,"If disabled, genes will not be generated for non-biocodable weapons.

A restart is required.",VREH_ToolTip_allowNonBiocodableWeapon,Settings.xml,keyed
VREH_WeaponAptitude,Genetic weapon aptitude,VREH_WeaponAptitude,Misc_Gameplay.xml,keyed
VREH_WeaponAptitudes.label,weapon aptitudes,label,GeneCategoryDef/GeneCategoryDefs.xml,def
VREHT_WeaponAptitude.label,aptitude for {0},label,VREHussars.WeaponGeneTemplateDef/WeaponGeneTemplateDefs.xml,def
VREHT_WeaponAptitude.description,The carrier's aptitude in {0} is greatly increased. Aptitude acts like an offset on hit chance and accuracy when the weapon is equipped.,description,VREHussars.WeaponGeneTemplateDef/WeaponGeneTemplateDefs.xml,def
VREHT_WeaponAptitude_Randomizer.label,random weapon aptitude,label,GeneDef/WeaponGeneTemplateDefs.xml,def
VREHT_WeaponAptitude_Randomizer.description,This will get swapped for a random weapon aptitude gene. It should never be visible to players.,description,GeneDef/WeaponGeneTemplateDefs.xml,def
VREH_Uhlan.label,uhlan,label,XenotypeDef/XenotypeDefs.xml,def
VREH_Uhlan.description,"Uhlans are a side-development from captured hussars, turned by certain elements to become a counter to the military-developed supersoldier programs. Their genetic dependence on luciferium is both a deterrent against capturing and an improvement to long-term usefulness.\n\nAppropriately named demons for their permanently flushed skin and intense bloodthirst, uhlans are incredibly resilient and specialized in certain styles of combat. Quite often they are decked out in heavy armor, in which they can charge full tilt at their intended target.\n\nExtremely specialized and on a permanent hair-trigger, there has been much speculation that their development was sponsored by megacorporations as part of the latest arms race. No substantial evidence has been presented to support these claims.",description,XenotypeDef/XenotypeDefs.xml,def
VREH_Uhlan.descriptionShort,"Uhlans are engineered super-soldiers who fight aggressively and without emotion. They heal extremely fast, glide through obstacles using their small wings, freely ingest military drugs and rely on luciferium to keep their bodies functioning.",descriptionShort,XenotypeDef/XenotypeDefs.xml,def
VREH_Glidewings.label,glidewings,label,HediffDef/Hediffs_Global_Misc.xml,def
VREH_Glidewings.description,"A small set of wings growing from this person's shoulderblades. They are not capable of flight, but they will not be slowed down by any obstacles.",description,HediffDef/Hediffs_Global_Misc.xml,def
VREH_GeneticDrugNeed_Luci.label,chemical dependency,label,HediffDef/Hediffs_Global_Misc.xml,def
VREH_GeneticDrugNeed_Luci.description,"This person has a genetically-induced biochemical dependency on a specific drug. Without regular doses of the drug, their body cannot maintain itself in a healthy state and they will suffer degrading health and mood until they die.\n\nTakes effect after age: 13.",description,HediffDef/Hediffs_Global_Misc.xml,def
VREH_GeneticDrugNeed_Luci.stages.1.label,deficiency,label,HediffDef/Hediffs_Global_Misc.xml,def
VREH_GeneticDrugNeed_Luci.stages.2.overrideLabel,deficiency coma,overrideLabel,HediffDef/Hediffs_Global_Misc.xml,def
