key,text,tag,file,type
VRE_RapidAging.label,rapid aging,label,GeneDef/GeneDefs_Aging.xml,def
VRE_RapidAging.description,"Carriers of this gene have an artificial mutation in their genetic material, causing them to age four times as fast as a standard baseliner.",description,GeneDef/GeneDefs_Aging.xml,def
VRE_FastAging.label,fast aging,label,GeneDef/GeneDefs_Aging.xml,def
VRE_FastAging.description,"Carriers of this gene have an artificial mutation in their genetic material, causing them to age twice as fast as a standard baseliner.",description,GeneDef/GeneDefs_Aging.xml,def
VRE_SlowAging.label,slow aging,label,GeneDef/GeneDefs_Aging.xml,def
VRE_SlowAging.description,"Carriers of this gene have an artificial mutation in their genetic material, causing them to age much slower than a standard baseliner.",description,GeneDef/GeneDefs_Aging.xml,def
VRE_CurledTail.label,curled tail,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_CurledTail.description,"Carriers of this gene grow a short, curly tail that does not serve any purpose.",description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_MouthTusks.label,mouth tusks,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_MouthTusks.description,Carriers of this gene grow two small tusks protruding from the jaw.,description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_ChocolateSkin.label,chocolate Skin,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_ChocolateSkin.description,Carriers of this gene have muddy light brown skin.,description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_HazelnutSkin.label,hazelnut Skin,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_HazelnutSkin.description,Carriers of this gene have light tan hazelnut-like skin.,description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_AuburnSkin.label,auburn Skin,label,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_AuburnSkin.description,Carriers of this gene have muddy dark red-brown skin.,description,GeneDef/GeneDefs_Cosmetic.xml,def
VRE_ExtraMeat.label,extra meat,label,GeneDef/GeneDefs_Health.xml,def
VRE_ExtraMeat.description,"Carriers of this gene have much more dense meat and fat tissue, resulting in greater meat yield when butchered.",description,GeneDef/GeneDefs_Health.xml,def
VRE_LowMeat.label,low meat,label,GeneDef/GeneDefs_Health.xml,def
VRE_LowMeat.description,"Carriers of this gene have very thin meat and fat tissue, resulting in much smaller meat yield when butchered.",description,GeneDef/GeneDefs_Health.xml,def
VRE_OrganRegeneration.label,organ regeneration,label,GeneDef/GeneDefs_Health.xml,def
VRE_OrganRegeneration.description,"Carriers of this gene have improved regenerating factors in their DNA, allowing them to slowly regenerate organs that may even be completely missing. The process is slow, and will prioritize healing existing, but damaged, organs.",description,GeneDef/GeneDefs_Health.xml,def
VRE_Gluttonous.label,Gluttonous,label,GeneDef/GeneDefs_Hunger.xml,def
