key,text,tag,file,type
VRE_Animal,Animal,VRE_Animal,Misc_Gameplay.xml,keyed
VRE_Corpse,Corpse,VRE_Corpse,Misc_Gameplay.xml,keyed
VRE_Sanguophage,Sanguophage,VRE_Sanguophage,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenAnimal,Extract hemogen (animal) from {0},VRE_ExtractHemogenAnimal,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenCorpse,Extract hemogen (corpse) from {0},VRE_ExtractHemogenCorpse,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenSanguophage,Extract hemogen (sanguophage) from {0},VRE_ExtractHemogenSanguophage,Misc_Gameplay.xml,keyed
VRE_MessageCantUseOnNonSanguophage,The sanguofeed ability can only be used on hemogenic people,VRE_MessageCantUseOnNonSanguophage,Misc_Gameplay.xml,keyed
VRE_MessageCantUseOnDrainedSanguophage,The sanguofeed ability can't be used on Sanguophages completely drained of hemogen,VRE_MessageCantUseOnDrainedSanguophage,Misc_Gameplay.xml,keyed
VRE_NoHeart,Can only be used on targets with a heart,VRE_NoHeart,Misc_Gameplay.xml,keyed
VRE_HemogenValve,Switches hemogen flow on/off.,VRE_HemogenValve,Misc_Gameplay.xml,keyed
VRE_HemogenValveDesc,Switches hemogen flow on/off. A pawn will come open/close the valve.,VRE_HemogenValveDesc,Misc_Gameplay.xml,keyed
VRE_Ability,Ability: {0},VRE_Ability,Misc_Gameplay.xml,keyed
VRE_DefaultAbility,Choose ability,VRE_DefaultAbility,Misc_Gameplay.xml,keyed
VRE_CarryToDraincasket,Carry {0} to draincasket,VRE_CarryToDraincasket,Misc_Gameplay.xml,keyed
VRE_EnterDraincasket,Enter draincasket,VRE_EnterDraincasket,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEject,Eject occupant,VRE_CommandDraincasketEject,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEjectDesc,Eject occupant from this draincasket. This will interrupt the hemogen extraction and leave the occupant dizzy due to the bloodloss.,VRE_CommandDraincasketEjectDesc,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEjectFailEmpty,"Can't eject occupant, since draincasket is empty",VRE_CommandDraincasketEjectFailEmpty,Misc_Gameplay.xml,keyed
VRE_DraincasketAmount,Draincasket hemogen production (per day),VRE_DraincasketAmount,Misc_Gameplay.xml,keyed
VRE_DraincasketAmountTooltip,"Sets the amount of hemogen packs the draincaskets will produce per day. By default, it is 2 hemogen packs per day.",VRE_DraincasketAmountTooltip,Misc_Gameplay.xml,keyed
VRE_Reset,Reset,VRE_Reset,Misc_Gameplay.xml,keyed
VRE_NoAnomalies,Cannot be used on Revenant or Nociospheres,VRE_NoAnomalies,Misc_Gameplay.xml,keyed
VRE_DraincasketAmountFromMetabolism,Daily hemogen production: {0} packs,VRE_DraincasketAmountFromMetabolism,Misc_Gameplay.xml,keyed
VRE_DraincasketOccupantDying,Occupant dying from starvation in {0},VRE_DraincasketOccupantDying,Misc_Gameplay.xml,keyed
VRE_DraincasketInVacuum_OccupantDying,Occupant dying from vacuum exposure,VRE_DraincasketInVacuum_OccupantDying,Misc_Gameplay.xml,keyed
VRE_AnimalFeed.label,animalfeed,label,AbilityDef/Abilities.xml,def
VRE_AnimalFeed.description,"Bite the target animal and extract hemogen directly from their blood. The animal will lose blood and will be horrified by the interaction, which can result in it lashing out. A fast-acting coagulant will seal the wound to prevent bleeding.\n\nCan only target animals.",description,AbilityDef/Abilities.xml,def
VRE_CorpseFeed.label,corpsefeed,label,AbilityDef/Abilities.xml,def
VRE_CorpseFeed.description,Bite the target corpse and extract hemogen directly from their blood. The corpse will lose any remaining blood.\n\nCan only target human corpses.,description,AbilityDef/Abilities.xml,def
VRE_SanguoFeed.label,sanguofeed,label,AbilityDef/Abilities.xml,def
VRE_SanguoFeed.description,"Bite the target and extract hemogen directly from their blood. The target will lose blood and will be insulted by the interaction, but will be otherwise unharmed. A fast-acting coagulant will seal the wound to prevent bleeding.\n\nCan only target hemogenic humans.",description,AbilityDef/Abilities.xml,def
VRE_Ecstasy.label,ecstasy,label,AbilityDef/Abilities.xml,def
VRE_Ecstasy.description,"Grant a target a feeling of extreme ecstasy for a brief duration, which makes them fall head over heels with the caster.",description,AbilityDef/Abilities.xml,def
VRE_HeartCrush.label,heart crush,label,AbilityDef/Abilities.xml,def
VRE_HeartCrush.description,"Rip out the heart of an enemy in close proximity, instantly killing them and covering the area in blood. Will only work on creatures with body size of 2 or lower. Bigger creatures will still be heavily damaged.",description,AbilityDef/Abilities.xml,def
VRE_FilterInfection.label,filter infection,label,AbilityDef/Abilities.xml,def
VRE_FilterInfection.description,Lay hands on a target and help the target battle their infections. Works on animals or humans.,description,AbilityDef/Abilities.xml,def
VRE_Hemosmosis.label,hemosmosis,label,AbilityDef/Abilities.xml,def
VRE_Hemosmosis.description,Suck blood filth from the area around the sanguophage and turn it into hemogen.,description,AbilityDef/Abilities.xml,def
VRE_Resurrect.label,resurrect,label,AbilityDef/Abilities.xml,def
VRE_Resurrect.description,"Use archites in the bloodstream to infuse a corpse's body with new life, repairing degenerated cell structures and kickstarting vital functions. The older and worse-preserved the corpse is, the more likely it is that they will come back with memory loss or health conditions. This ability seems to exhaust the archites somehow, so it can only be used very rarely.",description,AbilityDef/Abilities.xml,def
VRE_ToxicCloud.label,toxic cloud,label,AbilityDef/Abilities.xml,def
VRE_ToxicCloud.description,Excrete a thick toxic smoke from special organic reservoirs in the lungs. Tox gas is deadly to almost every creature.,description,AbilityDef/Abilities.xml,def
VRE_ViscuousGoo.label,viscuous goo,label,AbilityDef/Abilities.xml,def
VRE_ViscuousGoo.description,Eject a projectile that explodes on impact and creates a large amount of filth that greatly slows down people trying to move through it.,description,AbilityDef/Abilities.xml,def
VRE_Coagulate_SingleUse.label,coagulate,label,AbilityDef/Abilities_SingleUse.xml,def
VRE_Coagulate_SingleUse.description,Use special glands in the wrists to quickly tend someone's wounds.,description,AbilityDef/Abilities_SingleUse.xml,def
VRE_PiercingSpine_SingleUse.label,piercing spine,label,AbilityDef/Abilities_SingleUse.xml,def
VRE_PiercingSpine_SingleUse.description,"Use a hemogenic chemical reaction to launch a bony spine at the target. The spine exits through the skin from an opening between the collarbones. Given the method of launch, it is surprisingly easy to aim.",description,AbilityDef/Abilities_SingleUse.xml,def
VRE_AcidSpray_SingleUse.label,acid spray,label,AbilityDef/Abilities_SingleUse.xml,def
VRE_AcidSpray_SingleUse.description,Spray a sticky acid substance from glands in the neck up through the mouth and all over the target area. The acid will stick to targets and burn them.,description,AbilityDef/Abilities_SingleUse.xml,def
VRE_ToxicCloud_SingleUse.label,toxic cloud,label,AbilityDef/Abilities_SingleUse.xml,def
VRE_ToxicCloud_SingleUse.description,Excrete a thick toxic smoke from special organic reservoirs in the lungs. Tox gas is deadly to almost every creature.,description,AbilityDef/Abilities_SingleUse.xml,def
VRE_FilterInfection_SingleUse.label,filter infection,label,AbilityDef/Abilities_SingleUse.xml,def
VRE_FilterInfection_SingleUse.description,Lay hands on a target and help the target battle their infections. Works on animals or humans.,description,AbilityDef/Abilities_SingleUse.xml,def
VRE_Ecstasy_SingleUse.label,ecstasy,label,AbilityDef/Abilities_SingleUse.xml,def
