key,text,tag,file,type
VRE_Astrogenes,Astrogenes,VRE_Astrogenes,Keys.xml,keyed
VRE_AstrogenesDesc,"Astrogenes are special genetic mutations that only become active in orbit. They don't count towards complexity and metabolism of the gene carrier, but they have no effect on the surface of a planet.",VRE_AstrogenesDesc,Keys.xml,keyed
VRE_AbilityOnlyInSpace,This ability can only be used while in orbit,VRE_AbilityOnlyInSpace,Keys.xml,keyed
VRE_StarjackGenes,Number of Starjack Genes:,VRE_StarjackGenes,Keys.xml,keyed
VRE_StarjackGenesDesc,"By default, Starjacks will spawn with 2 Astrogenes. With this you can make the spawn with anything from 0 to 5 Astrogenes. This will obviously not affect already existing Starjacks!",VRE_StarjackGenesDesc,Keys.xml,keyed
VREStarjack_Reset,Reset,VREStarjack_Reset,Keys.xml,keyed
VREStarjack_SpacejumpLegs.label,spacejump,label,AbilityDef/Abilities.xml,def
VREStarjack_SpacejumpLegs.description,Propel yourself to a very distant location in the vacuum of space.,description,AbilityDef/Abilities.xml,def
VREStarjack_SpacejumpLegs.verbProperties.label,jump,label,AbilityDef/Abilities.xml,def
VREStarjack_SpacejumpLegs.label,spacejump tail,label,GeneDef/GeneDefs_Abilities.xml,def
VREStarjack_SpacejumpLegs.description,"Carriers of this gene possess a specialized muscular tail that functions as a propulsion organ, allowing them to launch themselves across vast distances in the vacuum of space. This ability cannot be used in atmospheres.",description,GeneDef/GeneDefs_Abilities.xml,def
VREStarjack_VacuumResistance_Total.label,vacuum impervious,label,GeneDef/GeneDefs_Health.xml,def
VREStarjack_VacuumResistance_Total.description,"Carriers of this gene have hardier circulatory and respiratory systems, reducing the rate at which hypoxia builds up in the vacuum of space.",description,GeneDef/GeneDefs_Health.xml,def
VREStarjack_Cryostasis.label,cryostasis,label,GeneDef/GeneDefs_Health.xml,def
VREStarjack_Cryostasis.description,"Carriers of this gene do not suffer fatal hypothermia. Instead, their bodies gradually slow down and enter a dormant state when exposed to extreme cold, and they can awaken safely once warmed.",description,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Mild.label,mild oxygen sensitivity,label,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Mild.description,"Carriers of this gene are slightly averse to oxygen-rich environments. In breathable atmosphere, they experience minor respiratory and neurological strain, accompanied by a subtle discomfort with each breath.",description,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Intense.label,intense oxygen sensitivity,label,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Intense.description,"Carriers of this gene suffer severe discomfort and reduced bodily function in oxygenated environments. Exposure to breathable air causes pain, weakness, and labored breathing, making planetary survival difficult.",description,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Extreme.label,extreme oxygen sensitivity,label,GeneDef/GeneDefs_Health.xml,def
VREStarjack_OxygenSensitivity_Extreme.description,Carriers of this gene cannot survive in oxygen-rich environments. Exposure to breathable atmospheres causes rapid lung failure and eventual death. Only the vacuum of space or low-oxygen gravship environments can sustain them.,description,GeneDef/GeneDefs_Health.xml,def
VREStarjack_VacuumEfficiency.label,vacuum efficiency,label,GeneDef/GeneDefs_Health.xml,def
