key,text,tag,file,type
VVE_ClassicCars.label,classic cars,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCars.description,"Learn to build fancy, classic cars such as the springbok. In order to research this project, a springbok wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCars.generalRules.rulesStrings.0,subject->classic car restoration,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCars.generalRules.rulesStrings.1,subject_story->began the journey of bringing elegance back to the roads by restoring a springbok wreck,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCars.generalRules.rulesStrings.2,subject_story->merged timeless designs with modern engineering to recreate the charm of classic cars,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCars.generalRules.rulesStrings.3,subject_gerund->reviving automotive elegance,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.label,supercars,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.description,"Learn to build fast and luxurious supercars such as the lightning. In order to research this project, a lightning wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.generalRules.rulesStrings.0,subject->supercar engineering,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.generalRules.rulesStrings.1,"subject_story->advanced to crafting vehicles that epitomize speed and luxury, starting with the restoration of a lightning wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.generalRules.rulesStrings.2,subject_story->pushed the limits of performance and aesthetics to create the ultimate driving machines,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SuperCars.generalRules.rulesStrings.3,subject_gerund->crafting speed and luxury,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.label,battle tanks,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.description,"Learn to build heavily armored battle tanks such as the marshal, equipped with a variety of weapons. In order to research this project, a marshal wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.generalRules.rulesStrings.0,subject->battle tank production,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.generalRules.rulesStrings.1,subject_story->initiated the era of armored warfare by resurrecting the prowess of a marshal wreck,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.generalRules.rulesStrings.2,subject_story->combined devastating firepower with impenetrable armor to dominate the battlefield,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BattleTanks.generalRules.rulesStrings.3,subject_gerund->dominating with armored might,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.label,light armored vehicles,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.description,"Learn to build light armored vehicles such as the paladin or the badger, that can transport soldiers efficiently and effectively whilst providing them with fire support. In order to research this project, a paladin or badger wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.generalRules.rulesStrings.0,subject->light armored mobility,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.generalRules.rulesStrings.1,subject_story->stepped into the realm of tactical versatility by restoring wrecks like the paladin or badger,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.generalRules.rulesStrings.2,"subject_story->designed vehicles that balance speed, protection, and firepower to support troops on the move",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_LightArmoredVehicles.generalRules.rulesStrings.3,subject_gerund->enhancing battlefield mobility,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.label,offroad jeeps,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.description,"Learn to build offroad jeeps such as the nomad, that can traverse any terrain with ease. In order to research this project, a nomad wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.generalRules.rulesStrings.0,subject->offroad jeep construction,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.generalRules.rulesStrings.1,"subject_story->started mastering the craft of building versatile offroad jeeps like the nomad, requiring the restoration of a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.generalRules.rulesStrings.2,subject_story->unlocked the potential to explore and operate in previously inaccessible terrains,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_OffroadJeeps.generalRules.rulesStrings.3,subject_gerund->navigating rugged landscapes,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.label,louie,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.description,"Learn to build a large transport helicopter called louie, that can deliver both cargo and troops over long distances with ease. In order to research this project, a louie wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.generalRules.rulesStrings.0,subject->louie helicopter development,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.generalRules.rulesStrings.1,"subject_story->ventured into aerial logistics by learning to build the louie, a large transport helicopter, starting from a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.generalRules.rulesStrings.2,subject_story->enabled rapid and flexible transport of cargo and troops over vast distances,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Louie.generalRules.rulesStrings.3,subject_gerund->mastering aerial transport,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.label,big rigs,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.description,"Learn to build large, long-distance trucks such as the big rig or hermano, capable of delivering large amounts of cargo over extremely long distances. In order to research this project, a big rig or hermano wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.generalRules.rulesStrings.0,subject->big rig trucking,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.generalRules.rulesStrings.1,"subject_story->advanced to constructing monumental long-haul trucks like the big rig or hermano, following the recovery and study of a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.generalRules.rulesStrings.2,subject_story->dramatically increased cargo capacity and operational range for ground transport,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_BigRigs.generalRules.rulesStrings.3,subject_gerund->revolutionizing overland cargo delivery,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.label,cherokee,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.description,"Learn to build a dual-rotor cargo helicopter called cherokee, capable of delivering thousands of kilograms of resources via air routes. In order to research this project, a cherokee wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.generalRules.rulesStrings.0,subject->cherokee helicopter creation,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.generalRules.rulesStrings.1,"subject_story->expanded aerial logistics capabilities by designing the cherokee, a dual-rotor cargo helicopter, requiring the reconstruction of a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.generalRules.rulesStrings.2,"subject_story->facilitated the movement of massive loads via air, bypassing ground-based obstacles",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_Cherokee.generalRules.rulesStrings.3,subject_gerund->lifting logistics to new heights,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.label,self-propelled artillery,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.description,"Learn to build a powerful, self-propelled artillery such as the famous udar, capable of raining artillery fire on enemies on the local map. In order to research this project, an udar wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.generalRules.rulesStrings.0,subject->self-propelled artillery construction,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.generalRules.rulesStrings.1,"subject_story->embarked on creating the udar, a formidable self-propelled artillery piece, after restoring a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.generalRules.rulesStrings.2,"subject_story->enhanced battlefield support with mobile artillery capable of precise, long-range bombardments on local maps",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SelfpropelledArtillery.generalRules.rulesStrings.3,subject_gerund->deploying strategic firepower,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.label,rocket artillery,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.description,"Learn to build multiple launch rocket systems with the ability to blanket a whole area with missiles. In order to research this project, a burya wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.generalRules.rulesStrings.0,subject->rocket artillery development,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.generalRules.rulesStrings.1,"subject_story->progressed to assembling multiple launch rocket systems like the burya, necessitating the reconstruction of a wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.generalRules.rulesStrings.2,"subject_story->introduced area saturation capabilities with volleys of missiles, transforming area denial and suppression tactics",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_RocketArtillery.generalRules.rulesStrings.3,subject_gerund->massing aerial assault,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.label,siege pods,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.description,"Learn to build powerful siege pods that act as temporary, moving bases during assaults in enemy territory. In order to research this project, a goliath wreck needs to be found and restored.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.generalRules.rulesStrings.0,subject->siege pod engineering,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.generalRules.rulesStrings.1,"subject_story->advanced to fabricating siege pods for dynamic assault bases, following the salvage of a goliath wreck",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.generalRules.rulesStrings.2,"subject_story->created mobile bases that can be deployed during assaults, providing logistical and combat support in enemy territory",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_SiegePods.generalRules.rulesStrings.3,subject_gerund->establishing mobile fortresses,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VVE_ClassicCarWreck.label,classical car wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_ClassicCarWreck.description,"An ancient, broken classic car. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Springbok.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_SupercarWreck.label,supercar wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_SupercarWreck.description,"An ancient, broken supercar. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Lightning.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_BattleTankWreck.label,battle tank wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_BattleTankWreck.description,"An ancient, broken battle tank. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Marshal.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_LightArmoredVehicleWreck.label,light armored vehicle wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_LightArmoredVehicleWreck.description,"An ancient, broken light armored vehicle. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Paladin.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_OffroadJeepWreck.label,offroad jeep wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_OffroadJeepWreck.description,"An ancient, broken offroad jeep. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Nomad.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_HelicopterWreck.label,helicopter wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_HelicopterWreck.description,"An ancient, broken helicopter. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Louie.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_TruckWreck.label,truck wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_TruckWreck.description,"An ancient, broken truck. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Big Rig.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_ArtilleryWreck.label,artillery wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_ArtilleryWreck.description,"An ancient, broken self propelled artillery. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into an Udar.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_CargoHelicopterWreck.label,cargo helicopter wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_CargoHelicopterWreck.description,"An ancient, crashed cargo helicopter. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Cherokee.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_RefrigeratedTruckWreck.label,refrigerated truck wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_RefrigeratedTruckWreck.description,"An ancient, broken refrigerated truck. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Hermano.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_InfantryFightingVehicleWreck.label,infantry fighting vehicle wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_InfantryFightingVehicleWreck.description,"An ancient, broken infantry fighting vehicle. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Badger.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_RocketArtilleryWreck.label,rocket artillery wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_RocketArtilleryWreck.description,"An ancient, broken rocket artillery truck. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Burya.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_SiegePodWreck.label,siege pod wreck,label,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_SiegePodWreck.description,"An ancient, destroyed siege pod. Everything that isn't rusted away was looted long ago. Given enough resources, it can be restored into a Goliath.",description,ThingDef/Buildings_Ancient_Outdoors.xml,def
VVE_FeelingClassy.stages.0.label,Feeling classy,label,ThoughtDef/Thoughts.xml,def
VVE_FeelingClassy.stages.0.description,I got around in a classic car. I feel great!,description,ThoughtDef/Thoughts.xml,def
VVE_FeelingClassyInCar.stages.0.label,Feeling classy,label,ThoughtDef/Thoughts.xml,def
VVE_FeelingClassyInCar.stages.0.description,I got around in a classic car. I feel great!,description,ThoughtDef/Thoughts.xml,def
VVE_Badger_Blueprint.label,Badger,label,Vehicles.VehicleBuildDef/Badger_Buildable.xml,def
VVE_Badger_Blueprint.description,"A tracked, armoured fighting vehicle, the Badger is designed to transport scouts and infantry while providing covering fire to suppress enemy troops. Reinforced side armour plating, ability to deploy blindsmoke and a powerful anti-infantry automated gun make it a powerful vehicle in small combat engagement. It’s relatively vulnerable to attacks from behind, and the short range of the turret means it is outclassed by most designated tanks.\n\nCompared to previous generations, this IFV is designed to quickly drop infantry off at a desired location and provide light covering fire. Lack of armor piercing on fired projectiles make it weak against enemy tanks.\n\n<color=#bb8f04>Crew:</color> Driver x1, Gunner x1, Passenger x4\n<color=#bb8f04>Fuel type:</color> Chemfuel",description,Vehicles.VehicleBuildDef/Badger_Buildable.xml,def
Bullet_Badger_MainTurret.label,anti-infantry shell,label,ThingDef/Badger_MainTurret.xml,def
Badger_MainTurret.label,badger chain gun,label,Vehicles.VehicleTurretDef/Badger_MainTurret.xml,def
Badger_MainTurret.description,"A powerful turret mounted on a Badger Infantry Fighting Vehicle. Its explosive shots deal significant damage to enemy infantry, but it’s low armor-piercing makes it subpar against armored targets, and it uses up a lot of ammo.",description,Vehicles.VehicleTurretDef/Badger_MainTurret.xml,def
Badger_MainTurret.fireModes.0.label,Single,label,Vehicles.VehicleTurretDef/Badger_MainTurret.xml,def
Badger_MainTurret.fireModes.1.label,Burst,label,Vehicles.VehicleTurretDef/Badger_MainTurret.xml,def
VVE_Badger.label,Badger,label,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
VVE_Badger.description,"A tracked, armoured fighting vehicle, the Badger is designed to transport scouts and infantry while providing covering fire to suppress enemy troops. Reinforced side armour plating, ability to deploy blindsmoke and a powerful anti-infantry automated gun make it a powerful vehicle in small combat engagement. It’s relatively vulnerable to attacks from behind, and the short range of the turret means it is outclassed by most designated tanks.\n\nCompared to previous generations, this IFV is designed to quickly drop infantry off at a desired location and provide light covering fire. Lack of armor piercing on fired projectiles make it weak against enemy tanks.\n\n<color=#bb8f04>Crew:</color> Driver x1, Gunner x1, Passenger x4\n<color=#bb8f04>Fuel type:</color> Chemfuel",description,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
VVE_Badger.properties.roles.0.label,Driver,label,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
VVE_Badger.properties.roles.1.label,Gunner,label,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
VVE_Badger.properties.roles.2.label,Passenger,label,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
VVE_Badger.components.0.label,Engine,label,Vehicles.VehicleDef/Badger_VehiclePawn.xml,def
