key,text,tag,file,type
VWEB_Gun_FlarestrikeRifle.label,flarestrike rifle,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FlarestrikeRifle.description,"A versatile semi-automatic battle rifle with good range, decent power and great accuracy.\n\nIt comes equipped with an underbarrel bioferrite-powered disruptor flare gun. On impact, the flare burns a capsule of bioferrite, which creates a bright flash and a local psychic disruption. The flare gun can be used four times before the rifle needs to be reloaded with bioferrite.",description,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FlarestrikeRifle.tools.0.label,stock,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FlarestrikeRifle.tools.1.label,barrel,label,ThingDef/RangedIndustrial.xml,def
VWEB_FlarestrikeFlare.label,flarestrike flare,label,AbilityDef/RangedIndustrial.xml,def
VWEB_FlarestrikeFlare.description,Expend a pressurized bioferrite charge to create a burst of flame.,description,AbilityDef/RangedIndustrial.xml,def
VWEB_Bullet_FlarestrikeRifle.label,flarestrike rifle bullet,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FirestormShotgun.label,firestorm shotgun,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FirestormShotgun.description,"A strong, short range shotgun that fires a tight-packed spray of pellets. Very deadly, but only in close quarters.\n\nIt also comes equipped with a bioferrite-powered mini-blazer unit which generates a short-ranged blast of flame from pressurized bioferrite charges. The mini-blazer unit can be used four times before refueling.",description,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FirestormShotgun.tools.0.label,stock,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_FirestormShotgun.tools.1.label,barrel,label,ThingDef/RangedIndustrial.xml,def
VWEB_FirestormBlazer.label,firestorm blazer,label,AbilityDef/RangedIndustrial.xml,def
VWEB_FirestormBlazer.description,Fire a short-ranged flame blast over a short but wide area.,description,AbilityDef/RangedIndustrial.xml,def
VWEB_Bullet_FirestormShotgun.label,firestorm shotgun blast,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_CycloneMinigun.label,cyclone minigun,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_CycloneMinigun.description,"An unwieldy, multi-barrel machine gun. Once the barrels spin up, it fires very fast. While most self-loading guns are powered by the gunpowder energy, minigun uses an electric motor to rapidly cycle cartridges through the weapon. \n\nIt comes equipped with a separate, overdrive engine that utilises bioferrite to greatly accelerate the rate of fire. The overdrive can be used two times before the minigun needs to be reloaded with bioferrite.",description,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_CycloneMinigun.tools.0.label,barrels,label,ThingDef/RangedIndustrial.xml,def
VWEB_CycloneRapidBurst.label,cyclone rapid burst,label,AbilityDef/RangedIndustrial.xml,def
VWEB_CycloneRapidBurst.description,Fire a rapid volley of shots by utilising the bioferrite-accelerated engine.,description,AbilityDef/RangedIndustrial.xml,def
VWEB_Bullet_CycloneMinigun.label,cyclone minigun bullet,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_PiercerRifle.label,piercer rifle,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_PiercerRifle.description,"A versatile, but still ancient pattern bolt-action rifle. Has a long range but suffers from low rate of fire. It’s unlikely to drive animals to revenge, which makes it a preferred weapon for hunting. \n\nIt comes equipped with delicate but incredibly sharp bioferrite bayonet, which can be used in melee combat to deal substantial sharp damage in case an enemy gets too close.",description,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_PiercerRifle.tools.0.label,stock,label,ThingDef/RangedIndustrial.xml,def
VWEB_Gun_PiercerRifle.tools.1.label,bayonet,label,ThingDef/RangedIndustrial.xml,def
VWEB_Bullet_PiercerRifle.label,piercer rifle bullet,label,ThingDef/RangedIndustrial.xml,def
