key,text,tag,file,type
VWE_MassDrivers.label,mass drivers,label,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.description,"Assemble weapons which utilize electromagnets to catapult sabots up to hypervelocity, penetrating thick armor and piercing through targets alike. Note that these also require advanced components.",description,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.generalRules.rulesStrings.0,subject->velocity as a weapon,li,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.generalRules.rulesStrings.1,"subject_story->mastered the physics of electromagnetic acceleration, creating weapons that launch projectiles at staggering speeds",li,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.generalRules.rulesStrings.2,"subject_story->engineered mass drivers capable of breaching the most formidable armor, reshaping the principles of warfare and defense",li,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.generalRules.rulesStrings.3,subject_story->unveiled a new era where kinetic energy defines the cutting edge of military technology,li,ResearchProjectDef/ResearchProjects.xml,def
VWE_MassDrivers.generalRules.rulesStrings.4,subject_gerund->harnessing the unstoppable force of hypervelocity for unmatched offensive capability,li,ResearchProjectDef/ResearchProjects.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
VWE_Gun_GaussRifle.label,gauss rifle,label,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussRifle.description,"A spacer-tech gauss rifle. A set of coils accelerate ferromagnetic sabots up to breakneck speeds, penetrating armor and piercing through multiple targets alike. These weapons are popular among frontline infantry fighting in mechanoid wars.",description,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussRifle.tools.0.label,stock,label,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussRifle.tools.1.label,barrel,label,ThingDef/RangedSpacer.xml,def
VWE_Bullet_GaussRifle.label,gauss rifle sabot,label,VEF.Weapons.ExpandableProjectileDef/RangedSpacer.xml,def
VWE_Gun_GaussMagnum.label,gauss magnum,label,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussMagnum.description,"A spacer-tech gauss pistol. An array of coils accelerate sabot projectiles from a revolving drum, penetrating armor and piercing through targets in its path. It charges quicker than most coilguns at the cost of decreased damage.",description,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussMagnum.tools.0.label,grip,label,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussMagnum.tools.1.label,barrel,label,ThingDef/RangedSpacer.xml,def
VWE_Bullet_GaussMagnum.label,gauss magnum sabot,label,VEF.Weapons.ExpandableProjectileDef/RangedSpacer.xml,def
VWE_Gun_GaussLance.label,gauss lance,label,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussLance.description,"A spacer-tech gauss lance. A series of electromagnetic coils catapult a single shot at hypervelocity, shredding armor and punching through any targets in its path. It is fired from the hip, utilizing an onboard computer to track and adjust to distant targets.",description,ThingDef/RangedSpacer.xml,def
VWE_Gun_GaussLance.tools.0.label,barrel,label,ThingDef/RangedSpacer.xml,def
VWE_Bullet_GaussLance.label,gauss lance sabot,label,VEF.Weapons.ExpandableProjectileDef/RangedSpacer.xml,def
