key,text,tag,file,type
VWEFT_Bullet_SalvagedLaserRevolver.label,unstable laser revolver shot,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRevolver.label,salvaged laser revolver,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRevolver.description,"A drum-based laser pistol capable of heating up quite quickly, each chamber containing an individual microbattery primed to focus each shot.\n\nBy using makeshift battery cells, this weapon is capable of quickly warming up, boosting the firing speed with each consecutive shot when standing still.",description,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRevolver.verbs.0.label,Standard,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRevolver.tools.0.label,barrel,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRevolver.tools.1.label,grip,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Bullet_SalvagedLaserRepeater.label,unstable laser shot,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRepeater.label,salvaged laser repeater,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRepeater.description,"A salvaged repeating rifle capable of firing unstable light at both close and medium distance, surprisingly accurate.\n\nBy using makeshift battery cells, this weapon is capable of quickly warming up, boosting the firing speed with each consecutive shot when standing still.",description,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRepeater.verbs.0.label,Standard,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRepeater.tools.0.label,barrel,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserRepeater.tools.1.label,grip,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Bullet_SalvagedLaserHuntingRifle.label,unstable precise laser shot,label,LaserBeamDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Bullet_SalvagedLaserHuntingRifle.description,An unstable long range laser beam.,description,LaserBeamDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserHuntingRifle.label,salvaged laser hunting rifle,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserHuntingRifle.description,"A scoped marksmen laser rifle capable of firing unstable light at very long range, supposedly used for mag train robberies long ago.\n\nBy using makeshift battery cells, this weapon is capable of quickly warming up, boosting the firing speed with each consecutive shot when standing still.",description,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserHuntingRifle.verbs.0.label,Standard,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserHuntingRifle.tools.0.label,barrel,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
VWEFT_Gun_SalvagedLaserHuntingRifle.tools.1.label,grip,label,ThingDef/VanillaWeaponsExpandedLasers.xml,def
