key,text,tag,file,type
VWEFT_Gun_Derringer.label,derringer,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_Derringer.description,"An ornate, easily concealable pistol meant for disabling aggressive humans and wildlife alike at very close range. Often carried by working girls, farmhands, and shady businessmen of far-off steamworlds.\n\nTales of steamworld gunslingers would imply this weapon and ones like it are capable of occasional incredibly lucky shots.",description,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_Derringer.tools.0.label,grip,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_Derringer.tools.1.label,barrel,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Bullet_Derringer.label,derringer bullet,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_LeverActionShotgun.label,lever-action shotgun,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_LeverActionShotgun.description,"An ornate, quick-loading simple shotgun used most often for defending ones claim on the frontier, although also a favorite of bartenders and store owners as an imposing tool against rowdy patrons or thieves.\n\nTales of steamworld gunslingers would imply this weapon and ones like it are capable of occasional incredibly lucky shots.",description,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_LeverActionShotgun.tools.0.label,stock,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Gun_LeverActionShotgun.tools.1.label,barrel,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
VWEFT_Bullet_LeverActionShotgun.label,shotgun blast,label,ThingDef/VanillaWeaponsExpandedQuickdraw.xml,def
