key,text,tag,file,type
VWE.CannotEquipHeavy,Weapon requires powered armor,VWE.CannotEquipHeavy,Misc.xml,keyed
VWE_Apparel_Exoframe.label,exoskeleton frame,label,ThingDef/Apparel_Packs.xml,def
VWE_Apparel_Exoframe.description,"A wearable frame, powered by a system of hydraulics, electric motors, levers and pneumatics, designed to permit quick movement. Whilst it does not provide any protection, it allows the user to walk faster, lift heavier objects and maintain balance more easily.",description,ThingDef/Apparel_Packs.xml,def
VWE_Gun_Autocannon.label,autocannon,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_Autocannon.description,"A self-loading large-bore cannon. Its large-caliber shells do heavy damage over significant ranges. It's slow to aim and it cannot fire at close-up targets.\n\nBeing an extremely heavy weapon, this gun requires a power armor to be effectively used.\n\nThis weapon has limited number of uses.",description,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_Autocannon.tools.0.label,grip,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_Autocannon.tools.1.label,barrel,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HandheldMortar.label,handheld mortar,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HandheldMortar.description,"Mortar launcher. Lobs bombs over walls. Very inaccurate but long-ranged. It's slow to aim and it cannot fire at close-up targets.\n\nBeing an extremely heavy weapon, this gun requires a power armor to be effectively used.\n\nThis weapon has limited number of uses.",description,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HandheldMortar.tools.0.label,grip,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HandheldMortar.tools.1.label,barrel,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HeavyFlamer.label,heavy flamer,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HeavyFlamer.description,"A powerful, military-grade flamer based on mechanoid inferno spewers. It can cover the entire area in front of the user in flames.\n\nBeing an extremely heavy weapon, this gun requires a power armor to be effectively used.\n\nThis weapon has limited number of uses.",description,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HeavyFlamer.tools.0.label,grip,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_HeavyFlamer.tools.1.label,barrel,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Bullet_HeavyFlamer.label,heavy flamer shot,label,VEF.Weapons.ExpandableProjectileDef/RangedIndustrialHeavy.xml,def
VWE_Gun_SwarmMissileLauncher.label,swarm missile launcher,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_SwarmMissileLauncher.description,"A rocket launcher that fires eight small-bore explosive missiles that track different targets.\n\nBeing an extremely heavy weapon, this gun requires a power armor to be effectively used.\n\nThis weapon has limited number of uses.",description,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_SwarmMissileLauncher.tools.0.label,grip,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_SwarmMissileLauncher.tools.1.label,barrel,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Bullet_SwarmRocket.label,swarm rocket,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_UraniumSlugRifle.label,uranium slug rifle,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_UraniumSlugRifle.description,"A self-loading uranium slug cannon. Its ultra-dense uranium shells can punch through heavy armor. It's more accurate at longer ranges, and can't fire at all close up.\n\nBeing an extremely heavy weapon, this gun requires a power armor to be effectively used.\n\nThis weapon has limited number of uses.",description,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_UraniumSlugRifle.tools.0.label,grip,label,ThingDef/RangedIndustrialHeavy.xml,def
VWE_Gun_UraniumSlugRifle.tools.1.label,barrel,label,ThingDef/RangedIndustrialHeavy.xml,def
