key,text,tag,file,type
VWELBeamGraphic.label,laser beam,label,ThingDef/VWEL_Abstracts_Laser.xml,def
Mercenary_Marine.label,mercenary marine,label,PawnKindDef/PawnKinds_Pirate.xml,def
Mercenary_Marine.labelPlural,mercenary marines,labelPlural,PawnKindDef/PawnKinds_Pirate.xml,def
Salvage_LaserWeapon.label,salvage laser weapon,label,RecipeDef/Recipes_Production.xml,def
Salvage_LaserWeapon.description,Salvage a random laser weapon from advanced components.,description,RecipeDef/Recipes_Production.xml,def
Salvage_LaserWeapon.jobString,Salvaging laser weapon.,jobString,RecipeDef/Recipes_Production.xml,def
VWE_LaserWeapons.label,salvaged laser weapons,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserWeapons.description,"Learn to break down and salvage advanced components into unstable, experimental laser weaponry.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserWeapons.generalRules.rulesStrings.0,subject->the beacon of innovation,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserWeapons.generalRules.rulesStrings.1,subject_story->ventured into the unknown by dismantling advanced technology to forge experimental laser weapons,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserWeapons.generalRules.rulesStrings.2,"subject_story->combined salvaged components with cutting-edge research, creating armaments that blaze with the power of controlled light",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserWeapons.generalRules.rulesStrings.3,subject_gerund->illuminating the path to superiority with the brilliance of salvaged laser weaponry,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
LaserRandom.label,salvaged laser weapon,label,ThingDef/Items_Resource_Manufactured.xml,def
LaserRandom.description,A bunch of components that when assembled can create a salvaged laser weapon.,description,ThingDef/Items_Resource_Manufactured.xml,def
UnfinishedSalvagedLaserGun.label,unfinished laser gun,label,ThingDef/Items_Unfinished.xml,def
VWEL_LaserSword.label,laser sword,label,ThingDef/VWEL_Weapons_Melee_Spacer.xml,def
VWEL_LaserSword.description,An ultratech device consisting of a handle and an extendable laser blade. A weapon of gentlemen.,description,ThingDef/VWEL_Weapons_Melee_Spacer.xml,def
VWEL_LaserSword.tools.0.label,handle,label,ThingDef/VWEL_Weapons_Melee_Spacer.xml,def
VWEL_LaserSword.tools.1.label,point,label,ThingDef/VWEL_Weapons_Melee_Spacer.xml,def
VWEL_LaserSword.tools.2.label,blade,label,ThingDef/VWEL_Weapons_Melee_Spacer.xml,def
VWEL_Bullet_LaserPistol.label,laser pistol shot,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserPistol.label,laser pistol,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserPistol.description,"An ultratech pistol capable of emitting a concentrated beam of light with enough power to deal considerable damage.\n\nBy using advanced battery cells, this weapon is capable of warming up, boosting the firing speed with each consecutive shot when standing still.\n\nThis weapon can overheat when fully warmed up, resulting in a small battery explosion around the user.",description,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserPistol.verbs.0.label,Standard,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserPistol.tools.0.label,barrel,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserPistol.tools.1.label,grip,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSMG.label,laser SMG,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSMG.description,"An ultratech submachine gun capable of emitting a concentrated beam of light with enough power to deal considerable damage.\n\nBy using advanced battery cells, this weapon is capable of warming up, boosting the firing speed with each consecutive shot when standing still.\n\nThis weapon can overheat when fully warmed up, resulting in a small battery explosion around the user.",description,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSMG.verbs.0.label,Standard,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSMG.tools.0.label,barrel,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSMG.tools.1.label,grip,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserRifle.label,laser shot,label,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserRifle.description,A focused laser beam.,description,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserRifle.label,laser rifle,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserRifle.description,"An ultratech rifle capable of emitting a concentrated beam of light with enough power to deal considerable damage over medium distance.\n\nBy using advanced battery cells, this weapon is capable of warming up, boosting the firing speed with each consecutive shot when standing still.\n\nThis weapon can overheat when fully warmed up, resulting in a small battery explosion around the user.",description,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserRifle.verbs.0.label,Standard,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserRifle.tools.0.label,barrel,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserRifle.tools.1.label,grip,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserShotgun.label,laser scatter shot,label,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserShotgun.description,A broken down laser beam.,description,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserShotgun.label,laser shotgun,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserShotgun.description,"An ultratech scatter gun capable of emitting several beams of light with enough power to deal considerable damage.\n\nBy using advanced battery cells, this weapon is capable of warming up, boosting the firing speed with each consecutive shot when standing still.\n\nThis weapon can overheat when fully warmed up, resulting in a small battery explosion around the user.",description,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserShotgun.verbs.0.label,Standard,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserShotgun.tools.0.label,barrel,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserShotgun.tools.1.label,grip,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserSniperRifle.label,precise laser shot,label,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Bullet_LaserSniperRifle.description,"A focused, long range laser beam.",description,LaserBeamDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSniperRifle.label,laser sniper rifle,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSniperRifle.description,"An ultratech sniper rifle capable of emitting a concentrated beam of light with enough power to deal considerable damage over long range.\n\nBy using advanced battery cells, this weapon is capable of warming up, boosting the firing speed with each consecutive shot when standing still.\n\nThis weapon can overheat when fully warmed up, resulting in a small battery explosion around the user.",description,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSniperRifle.verbs.0.label,Standard,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
VWEL_Gun_LaserSniperRifle.tools.0.label,barrel,label,ThingDef/VWEL_Weapons_Ranged_Laser.xml,def
