key,text,tag,file,type
VWE_LaunchFlare.label,fire disruptor flare,label,AbilityDef/WeaponTraitAbilities_Odyssey.xml,def
VWE_LaunchFlare.description,Fire a disruptor flare over a medium distance. Can be reloaded using bioferrite.,description,AbilityDef/WeaponTraitAbilities_Odyssey.xml,def
VWE_UnderbarrelShotgun.label,fire shotgun,label,AbilityDef/WeaponTraitAbilities_Odyssey.xml,def
VWE_UnderbarrelShotgun.description,Fire a blast of buckshot from the underslung shotgun.,description,AbilityDef/WeaponTraitAbilities_Odyssey.xml,def
VWE_Arrow_TraitIncendiary.label,arrow,label,DamageDef/Damages_RangedWeapon_Odyssey.xml,def
VWE_Arrow_Painful.label,arrow,label,DamageDef/Damages_RangedWeapon_Odyssey.xml,def
VWE_DeserterMarkings.label,weapon with deserter markings,label,HistoryEventDef/GoodwillEvents_Misc_Odyssey.xml,def
VWE_HuntingStealth.label,hunting stealth,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_HuntingStealth.description,The weapon held by this person provides increased hunting stealth.,description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ExtraPain.description,This creature has increased pain sensitivity due to being struck by a barbed arrow.,description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ExtraPain.label,increased pain sensitivity,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ReducedMoveSpeed.label,encumbered,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ReducedMoveSpeed.description,"The weapon held by this person is very heavy, reducing move speed.",description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_SkeletonizedFrame.label,skeletonized frame,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_SkeletonizedFrame.description,"The weapon held by this person is very light, increasing move speed.",description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_IlluminatedSights.label,illuminated sights,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_IlluminatedSights.description,The weapon held by this person is fitted with self-illuminating sights.,description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ComfortGrip.label,comfort grip,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_ComfortGrip.description,"The weapon held by this person is fitted with a custom-molded, ergonomic handle wrapped in high-quality leather.",description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_GrimNotches.label,grim notches,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_GrimNotches.description,"The weapon held by this person is covered in crude, carved notches, each tallying a life taken by a previous owner.",description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_VoidInscriptions.label,void inscriptions,label,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_VoidInscriptions.description,"The weapon held by this person is etched with shifting, non-euclidean glyphs that whisper to the wielder, continually draining their mental stability while equipped.",description,HediffDef/Hediffs_StatHandling_Odyssey.xml,def
VWE_OptionalFeatures.label,Vanilla Weapons Expanded,label,VEF.OptionalFeatures.ModDef/OptionalFeatures_Odyssey.xml,def
VWE_OptionalFeatures.description,VE Framework optional features for Vanilla Weapons Expanded,description,VEF.OptionalFeatures.ModDef/OptionalFeatures_Odyssey.xml,def
VWE_Bow_Crossbow_Unique.label,unique crossbow,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Bow_Crossbow_Unique.description,A crossbow with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Bow_Long_Unique.label,unique longbow,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Bow_Long_Unique.description,A longbow with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Bow_Compound_Unique.label,unique compond bow,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Bow_Compound_Unique.description,A compond bow with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_HandCannon_Unique.label,unique heavy revolver,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_HandCannon_Unique.description,A heavy revolver with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_CombatHandgun_Unique.label,unique combat handgun,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_CombatHandgun_Unique.description,A combat handgun with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SawedOffShotgun_Unique.label,unique sawed-off shotgun,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SawedOffShotgun_Unique.description,A sawed-off shotgun with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SemiAutomaticRifle_Unique.label,unique semi-automatic rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SemiAutomaticRifle_Unique.description,A semi-automatic rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_LeverActionRifle_Unique.label,unique lever-action rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_LeverActionRifle_Unique.description,A lever-action rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_TrenchGun_Unique.label,unique trench gun,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_TrenchGun_Unique.description,A trench gun with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_LightSMG_Unique.label,unique light SMG,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_LightSMG_Unique.description,A light SMG with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SMG_Unique.label,unique SMG,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_SMG_Unique.description,A SMG with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_HMG_Unique.label,unique HMG,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_HMG_Unique.description,A HMG with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ServiceRifle_Unique.label,unique service rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ServiceRifle_Unique.description,A service rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_BattleRifle_Unique.label,unique battle rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_BattleRifle_Unique.description,A battle rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_Carbine_Unique.label,unique carbine,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_Carbine_Unique.description,A carbine with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_MarksmanRifle_Unique.label,unique marksman rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_MarksmanRifle_Unique.description,A marksman rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_AntiMaterialRifle_Unique.label,unique anti-materiel rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_AntiMaterialRifle_Unique.description,An anti-materiel rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargePistol_Unique.label,unique charge pistol,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargePistol_Unique.description,A charge pistol with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeShotgun_Unique.label,unique charge shotgun,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeShotgun_Unique.description,A charge shotgun with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeSMG_Unique.label,unique charge SMG,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeSMG_Unique.description,A charge SMG with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeLMG_Unique.label,unique charge blaster,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeLMG_Unique.description,A charge blaster with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeMinigun_Unique.label,unique heavy charge blaster,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeMinigun_Unique.description,A heavy charge blaster with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeSniperRifle_Unique.label,unique charge sniper rifle,label,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_Gun_ChargeSniperRifle_Unique.description,A charge sniper rifle with customized parts.,description,ThingDef/Weapons_Unique_Odyssey.xml,def
VWE_ComfortGrip.stages.0.label,comfortable gun,label,ThoughtDef/Thoughts_Odyssey.xml,def
VWE_ComfortGrip.stages.0.description,"The custom-molded, ergonomic handle wrapped in high-quality leather feels reassuringly secure in my hand.",description,ThoughtDef/Thoughts_Odyssey.xml,def
VWE_GrimNotches.stages.0.label,grim gun,label,ThoughtDef/Thoughts_Odyssey.xml,def
VWE_GrimNotches.stages.0.description,It seems there’s 20 notches on this pistol. Who knows what lives it has taken.,description,ThoughtDef/Thoughts_Odyssey.xml,def
VWE_UnderbarrelFlarestriker.label,underbarrel flarestriker,label,WeaponTraitDef/WeaponTraitDefs_Attachables.xml,def
VWE_UnderbarrelFlarestriker.description,This weapon is equipped with an integrated under-barrel flare launcher. It fires bioferrite-fueled disruptor flares that illuminate the area and cause local psychic disruption.,description,WeaponTraitDef/WeaponTraitDefs_Attachables.xml,def
VWE_UnderbarrelShotgun.label,underbarrel shotgun,label,WeaponTraitDef/WeaponTraitDefs_Attachables.xml,def
VWE_UnderbarrelShotgun.description,"This weapon features a stripped-down, under-barrel shotgun attachment. It provides the user with a secondary firing option specifically designed to breach doors or clear close-quarters threats without switching weapons.",description,WeaponTraitDef/WeaponTraitDefs_Attachables.xml,def
VWE_PitchSoakedTips.label,pitch-soaked tips,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_PitchSoakedTips.description,"These projectiles have been dipped in sticky, flammable tar and wrapped in cloth. They have a high chance of igniting the target upon impact.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_HighTensionLimbs.label,high-tension limbs,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_HighTensionLimbs.description,"The limbs of this weapon are incredibly stiff, storing massive amounts of kinetic energy. It takes much longer to draw or crank, but the projectile flies faster and hits harder.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_WhisperFletching.label,whisper fletching,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_WhisperFletching.description,"The projectiles use soft, owl-down fletching that silences their flight. It generates almost no noise, preventing animals from fleeing when missed.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BarbedHeads.label,barbed heads,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BarbedHeads.description,"The projectiles are tipped with jagged, cruel hooks designed to tear flesh and get stuck in the wound. They cause immense pain and have higher stopping power.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_QuickDrawString.label,quick-draw string,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_QuickDrawString.description,"This bow is strung with a flexible, slightly slacker string. It allows for rapid volley fire at the cost of range and armor penetration.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_TwinNock.label,twin-nock,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_TwinNock.description,This weapon is designed to fire two projectiles simultaneously. It creates a hail of arrows but makes aiming at specific targets much more difficult.,description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BluntHeads.label,blunt heads,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BluntHeads.description,"The projectiles are tipped with heavy, flat weights instead of sharp points. They deal blunt trauma, cracking bones and causing bruising rather than bleeding wounds.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_SiegeAssembly.label,siege assembly,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_SiegeAssembly.description,"This weapon is modified with heavy pulleys, a windlass, or reinforced laminate limbs, effectively turning it into a portable ballista. It hits with devastating force, capable of piercing thick armor, but the weapon is incredibly heavy and agonizingly slow to aim.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BlastTips.label,blast tips,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_BlastTips.description,"The arrowheads are replaced with crude, volatile explosive charges. Upon impact, they detonate in a small radius, dealing significant damage to clusters of enemies. However, the heavy and unbalanced payload causes the projectile to tumble in flight, making accurate fire nearly impossible.",description,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
VWE_SlipString.label,slip-string,label,WeaponTraitDef/WeaponTraitDefs_Bow.xml,def
